V_ID,Town,Cluster_result,Cluster_name,QoL_Score,Marital status,Population Density,Natural Increase,Social Increase,Housing Price,Income,edu1,edu2,NO2,PM2.5,Hospital,Water,Green,Area,Metro in 300m,Multi Metro in 300m,Metro in 500m,Multi Metro in 500m,Primary School,High School,Gym,Fire station,Police station,Shelter
65000210-008,Sanzhi District,0,Suburb: Remote and Desolate,56.25,0.023580439,0.001097447,0.152897108,0.112527301,0.037250411,0.006207726,0.016879394,0.413976557,0.194785639,0.464920784,0.142857143,1,1,0.009154926,0,0,0,0,0,0,0,1,1,0
65000020-072,Sanchong District,2,Outskirt: Influx of New Residents,48.39,0.086033714,0.248094069,0.166206477,0.11182434,0.270662095,0.032640921,0.084270638,0.480670521,0.128320883,0.049890552,0.285714286,0,0,0.000300195,1,0,1,0,0,1,0,0,1,0
65000020-019,Sanchong District,2,Outskirt: Influx of New Residents,4.97,0.106631704,0.291412741,0.158042115,0.110546214,0.270662095,0.0441991,0.106716397,0.471980021,0.054526761,0.839858056,0.142857143,0,0,0.00035852,0,0,0,0,0,1,0,0,1,0
65000020-052,Sanchong District,2,Outskirt: Influx of New Residents,46.37,0.05920632,0.275202028,0.175372661,0.114421598,0.270662095,0.02048196,0.059534581,0.449791834,0.106880049,0.381340733,0.285714286,0,0,0.000213372,0,0,1,1,0,1,0,0,1,0
65000020-041,Sanchong District,2,Outskirt: Influx of New Residents,23.32,0.089990334,0.134699368,0.140115176,0.112604709,0.270662095,0.048398479,0.091751562,0.439500515,0.106880049,0.839858056,0.285714286,0,0,0.000784883,1,0,1,0,0,0,0,0,1,0
65000020-026,Sanchong District,2,Outskirt: Influx of New Residents,44.83,0.046031417,0.321465245,0.138195131,0.11229424,0.270662095,0.017000609,0.045832906,0.430119984,0.106880049,0.381340733,0.142857143,0,1,0.000116523,1,0,1,0,0,0,0,0,1,0
65000020-029,Sanchong District,2,Outskirt: Influx of New Residents,25.47,0.03952494,0.278092548,0.161367884,0.111903009,0.270662095,0.013009337,0.040039588,0.430354647,0.106880049,0.381340733,0.285714286,0,0,0.000108761,1,0,1,0,0,0,0,0,1,0
65000020-005,Sanchong District,2,Outskirt: Influx of New Residents,39.11,0.125494345,0.03501631,0.175372661,0.112912962,0.270662095,0.059867511,0.122376412,0.499322011,0.094125604,0.681706652,0.285714286,0,1,0.003233619,1,0,1,0,0,0,0,0,1,0.003875969
65000020-002,Sanchong District,1,Suburb: Small Town Settlement,41.53,0.053848128,0.065225367,0.169335671,0.113674013,0.270662095,0.016778147,0.052222664,0.447400659,0.06346393,0.847833973,0,0,1,0.001040115,0,0,0,0,1,1,0,0,1,0.007751938
65000020-095,Sanchong District,0,Suburb: Remote and Desolate,3.29,0.130260437,0.05503455,0.166206477,0.111981536,0.270662095,0.044351851,0.122358631,0.575890763,0.128320883,0.426814194,0.142857143,0,1,0.001865099,0,0,0,0,0,0,0,0,1,0
