縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,不含車位_各建物型態合計棟數,不含車位_公寓棟數,不含車位_透天厝棟數,不含車位_店面(店舖)棟數,不含車位_辦公商業大樓棟數,不含車位_住宅大樓棟數,不含車位_華廈棟數,不含車位_套房棟數,不含車位_工廠棟數,不含車位_廠辦棟數,不含車位_農舍棟數,不含車位_倉庫棟數,不含車位_其他建物型態棟數,不含車位_各建物型態合計面積,不含車位_公寓面積,不含車位_透天厝面積,不含車位_店面(店舖)面積,不含車位_辦公商業大樓面積,不含車位_住宅大樓面積,不含車位_華廈面積,不含車位_套房面積,不含車位_工廠面積,不含車位_廠辦面積,不含車位_農舍面積,不含車位_倉庫面積,不含車位_其他建物型態面積,不含車位_各建物型態整體中位數房價,不含車位_公寓中位數房價,不含車位_透天厝中位數房價,不含車位_店面(店舖)中位數房價,不含車位_辦公商業大樓中位數房價,不含車位_住宅大樓中位數房價,不含車位_華廈中位數房價,不含車位_套房中位數房價,不含車位_工廠中位數房價,不含車位_廠辦中位數房價,不含車位_農舍中位數房價,不含車位_倉庫中位數房價,不含車位_其他建物型態中位數房價,含車位_各建物型態合計棟數,含車位_公寓棟數,含車位_透天厝棟數,含車位_店面(店舖)棟數,含車位_辦公商業大樓棟數,含車位_住宅大樓棟數,含車位_華廈棟數,含車位_套房棟數,含車位_工廠棟數,含車位_廠辦棟數,含車位_農舍棟數,含車位_倉庫棟數,含車位_其他建物型態棟數,含車位_各建物型態合計面積,含車位_公寓面積,含車位_透天厝面積,含車位_店面(店舖)面積,含車位_辦公商業大樓面積,含車位_住宅大樓面積,含車位_華廈面積,含車位_套房面積,含車位_工廠面積,含車位_廠辦面積,含車位_農舍面積,含車位_倉庫面積,含車位_其他建物型態面積,含車位_各建物型態整體中位數房價,含車位_公寓中位數房價,含車位_透天厝中位數房價,含車位_店面(店舖)中位數房價,含車位_辦公商業大樓中位數房價,含車位_住宅大樓中位數房價,含車位_華廈中位數房價,含車位_套房中位數房價,含車位_工廠中位數房價,含車位_廠辦中位數房價,含車位_農舍中位數房價,含車位_倉庫中位數房價,含車位_其他建物型態中位數房價,資料時間
67000,臺南市,67000050,後壁區,65,,52,,,,,,,8,1,,4,5593.65,,2524.71,,,,,,,959.66,75.83,,2033.44,3000000,,2392000,,,,,,,10625000,6700000,,22000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"107Y"
67000,臺南市,67000060,東山區,42,,41,,,,,,,,1,,,2173.35,,2108.16,,,,,,,,65.19,,,4360000,,4220000,,,,,,,,15500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"107Y"
67000,臺南市,67000070,麻豆區,188,3,145,13,,,10,1,10,1,5,,,16939.82,113.48,8335.58,912.42,,,349.86,7.57,6493.44,346.89,380.58,,,7300000,3700000,7000000,11680000,,,2660000,136019,36146667,21500000,11500000,,,1,,,,,,1,,,,,,,32.78,,,,,,32.78,,,,,,,2500000,,,,,,2500000,,,,,,,"107Y"
67000,臺南市,67000080,下營區,53,,52,,,,,,,,1,,,2713.98,,2675.76,,,,,,,,38.22,,,3800000,,3850000,,,,,,,,1000000,,,2,,,,,,2,,,,,,,76.52,,,,,,76.52,,,,,,,3850000,,,,,,3850000,,,,,,,"107Y"
67000,臺南市,67000090,六甲區,62,,58,,,,,,,2,1,,1,3770.54,,3189.10,,,,,,,457.11,18.00,,106.32,6860000,,6800000,,,,,,,44900000,3530000,,9620000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"107Y"
67000,臺南市,67000100,官田區,90,2,81,,,,,,4,2,,,1,8273.80,71.76,3912.95,,,,,,3548.13,733.86,,,7.11,5540000,1285000,5250000,,,,,,50338467,58797500,,,123168000,65,,65,,,,,,,,,,,3193.89,,3193.89,,,,,,,,,,,5210000,,5210000,,,,,,,,,,,"107Y"
67000,臺南市,67000110,大內區,9,,7,1,,,,,,,1,,,364.32,,290.11,34.56,,,,,,,39.65,,,1850000,,1736246,1850000,,,,,,,6000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"107Y"
67000,臺南市,67000120,佳里區,354,,308,10,1,10,13,2,7,1,,,2,19502.47,,16705.26,846.94,36.43,421.59,339.11,27.44,1022.51,33.49,,,69.70,6500000,,6800000,10580000,2300000,3100000,2500000,365000,12250000,25600000,,,11483525,13,,1,,1,4,7,,,,,,,565.74,,53.91,,44.05,168.29,299.49,,,,,,,3450000,,7390000,,2350000,3475000,3300000,,,,,,,"107Y"
67000,臺南市,67000130,學甲區,102,2,57,5,,1,8,5,18,,2,,4,9318.05,78.66,2579.47,288.33,,28.01,219.62,62.13,5863.35,,124.68,,73.79,3050000,2050000,3600000,6200000,,1615000,1240000,530000,50444444,,2780000,,850000,65,,56,,,,8,1,,,,,,3304.60,,3082.37,,,,202.78,19.45,,,,,,6000000,,6040000,,,,550000,250000,,,,,,"107Y"
67000,臺南市,67000140,西港區,159,,143,1,,,6,2,4,,,1,2,9237.87,,7090.25,56.77,,,161.77,29.26,568.98,,,236.77,1094.06,5380000,,5380000,7600000,,,1650000,762500,11312500,,,10000000,15500000,5,,1,,,,4,,,,,,,212.84,,53.25,,,,159.59,,,,,,,2880000,,2500000,,,,2915000,,,,,,,"107Y"
