WKT,名稱,說明
"POINT (121.5403764 24.9530138)",新北市新店區新店國民小學,
"POINT (121.5754065 24.9513603)",新北市新店區雙峰國民小學,
"POINT (121.4999804 24.9536199)",新北市立達觀國民中小學,
"POINT (121.4863686 24.9522748)",新北市新店區雙城國民小學,
"POINT (121.5309584 24.9377936)",新北市新店區直潭國民小學,
"POINT (121.5470266 24.9225975)",Quchi Elementary School,
"POINT (121.517916 24.9845977)",新北市新店區新和國民小學,
"POINT (121.5381063 24.9776538)",新北市新店區 大豐國民小學,
"POINT (121.5446457 24.9737291)",新北市新店區北新國民小學,
"POINT (121.5366811 24.9718939)",新北市新店區 中正國民小學,
"POINT (121.4561222 25.0369227)",新北市新莊區新莊國民小學,
"POINT (121.4486876 25.0564214)",新北市新莊區中信國民小學,
"POINT (121.4559874 25.0509984)",新北市新莊區昌隆國民小學,
"POINT (121.4471707 25.0451024)",新北市新莊區中港國民小學,
"POINT (121.4567953 25.0461927)",新北市新莊區思賢國民小學,
"POINT (121.4437563 25.037911)",新北市新莊區新泰國民小學,
"POINT (121.44337 25.0308533)",新北市新莊區豐年國民小學,
"POINT (121.4277092 25.0223304)",新北市新莊區民安國民小學,
"POINT (121.4139574 25.02449)",新北市新莊區丹鳳國民小學,
"POINT (121.4251486 25.0178239)",新北市新莊區光華國民小學,
"POINT (121.5118716 25.0156533)",及人國小,
"POINT (121.5200381 25.0131925)",新北市永和區網溪國民小學,
"POINT (121.5114852 25.0152952)",新北市永和區頂溪國民小學,
"POINT (121.5170389 25.0145585)",新北市私立竹林國民小學,
"POINT (121.521715 25.007022)",新北市私立育才國民小學,
"POINT (121.505072 25.0076661)",新北市永和區永平國民小學,
"POINT (121.516948 25.0033711)",新北市永和區永和國民小學,
"POINT (121.5213727 24.9989399)",新北市永和區秀朗國民小學,
"POINT (121.4893351 24.9898743)",新北市中和區錦和國民小學,
"POINT (121.5211448 24.9951577)",新北市中和區秀山國民小學,
"POINT (121.4821015 24.9992287)",新北市中和區積穗國民小學,
"POINT (121.5017235 24.999898)",新北市中和區中和國民小學,
"POINT (121.4831365 25.0151637)",新北市中和區光復國民小學,
