,名稱,lon,lat
94,新北市政府警察局 三峽分局 橫溪派出所,121.3954245,24.9373895
95,新北市政府警察局 三峽分局 吉埔派出所,121.3622626,24.9064822
96,新北市政府警察局三峽分局五寮派出所,121.3592864,24.8581629
97,新北市政府警察局三峽分局成福派出所,121.4206136,24.9298617
98,新北市政府警察局淡水分局,121.436635,25.1725004
99,新北市政府警察局淡水分局 中山路派出所,121.449745,25.1650925
100,新北市政府警察局淡水分局水碓派出所,121.4443595,25.1782751
101,新北市政府警察局淡水分局中正路派出所,121.4366017,25.1728032
102,新北市政府警察局淡水分局賢孝派出所,121.4546779,25.2335457
103,新北市政府警察局淡水分局竹圍派出所,121.459825,25.1374976
104,新北市政府警察局交通警察大隊淡水分隊,121.4497318,25.1652137
105,淡海捷運分隊,121.4281802,25.1957756
106,新北市政府警察局淡水分局水源派出所,121.4780712,25.1858339
107,新北市政府警察局瑞芳分局,121.807757,25.107587
108,鐵路警察局台北分局瑞芳派出所,121.8062438,25.1086071
109,新北市政府警察局瑞芳分局瑞濱派出所,121.8195832,25.1210304
110,新北市政府警察局瑞芳分局水湳洞派出所,121.8619602,25.1216504
111,新北市政府警察局瑞芳分局九份派出所,121.8432526,25.1096557
112,新北市政府警察局瑞芳分局四腳亭派出所,121.7619286,25.1041475
113,新北市政府警察局瑞芳分局大寮派出所,121.7874246,25.1068296
114,新北市政府警察局瑞芳分局猴硐派出所,121.8332459,25.0933693
115,新北市政府警察局瑞芳分局金瓜石派出所,121.857683,25.1083582
116,新北市政府警察局蘆洲分局五股分駐所,121.4368288,25.08353709999999
117,新北市政府警察局蘆洲分局成州派出所,121.4516333,25.1014551
118,新北市政府警察局蘆洲分局德音派出所,121.4303019,25.0713717
119,新北市政府警察局蘆洲分局更寮派出所,121.458414,25.0779283
120,新北市政府警察局 林口分局 泰山分駐所,121.4331502,25.0616477
121,新北市政府警察局 林口分局 明志派出所,121.4248099,25.0438151
122,國道公路警察局第一公路警察大隊泰山分隊,121.4156992,25.0623949
123,內政部警政署國道公路警察局(總局),121.4225086,25.0670219
124,新北市政府警察局林口分局,121.3632854,25.0701715
125,新北市政府警察局 林口分局 林口派出所,121.3937572,25.0773345
126,新北市政府警察局林口分局文化派出所,121.3763633,25.0720753
127,新北市政府警察局林口分局文林派出所,121.3799238,25.0875263
128,忠孝派出所（林口分局一樓）,121.3631868,25.0701844
129,新北市政府警察局林口分局瑞平派出所,121.335876,25.1226681
130,新北市政府警察局 林口分局 泰山分駐所,121.4331685,25.0616639
131,新北市政府警察局新店分局深坑分駐所,121.6153978,25.0014088
132,新北市政府警察局新店分局石碇分駐所,121.6606978,24.9911281
133,國道公路警察局第九公路警察大隊石碇分隊,121.6446985,25.010833
134,新北市政府警察局新店分局碧山派出所,121.6318333,24.9516667
135,新北市政府警察局新店分局中民派出所,121.6728276,25.0081975
136,新北市政府警察局新店分局豐田派出所,121.6871513,24.9741333
137,新北市政府警察局新店分局楓子林派出所,121.6423433,25.0101752
138,新北市政府警察局新店分局楓子林派出所,121.6424815,25.0097873
139,新北市政府警察局新店分局坪林分駐所,121.7114634,24.9356989
140,新北市政府警察局新店分局漁光派出所,121.7389038,24.9633997
141,新北市政府警察局新店分局金溪派出所,121.6791344,24.911245
142,闊瀨派出所,121.7712287,24.9656325
143,新北市政府警察局新店分局石槽派出所,121.7197832,24.902437
144,新北市政府警察局淡水分局三芝分駐所,121.5011345,25.2574407
145,新北市政府警察局金山分局石門分駐所,121.5673754,25.29080039999999
146,內政部警政署保安警察第二總隊第二大隊第二中隊乾華分隊,121.5889083,25.2784306
147,內政部警政署保安警察第二總隊第二大隊第二中隊,121.588993,25.278275
148,新北市政府警察局金山分局乾華派出所,121.6085165,25.2799865
149,新北市政府警察局 蘆洲分局 八里分駐所,121.3975478,25.1459749
150,新北市政府警察局蘆洲分局龍源派出所,121.4513067,25.1324494
151,新北市政府警察局瑞芳分局平溪分駐所,121.7383819,25.0263129
152,新北市政府警察局瑞芳分局十分派出所,121.7788632,25.0456182
153,新北市政府警察局瑞芳分局平林派出所,121.8331364,25.0303428
154,新北市政府警察局瑞芳分局東勢格派出所,121.7496787,25.0051082
155,新北市政府警察局瑞芳分局雙溪分駐所,121.865251,25.0358757
156,新北市政府警察局瑞芳分局柑腳派出所,121.8047569,25.0143673
157,新北市政府警察局瑞芳分局太平派出所,121.8258604,24.9715346
158,新北市政府警察局瑞芳分局牡丹派出所,121.8497634,25.0599282
159,新北市政府警察局瑞芳分局平林派出所,121.8331364,25.0303428
160,新北市政府警察局瑞芳分局貢寮分駐所,121.9095186,25.0220347
161,內政部警政署保安警察第二總隊第二大隊第一中隊,121.926336,25.047468
162,新北市政府警察局瑞芳分局福隆派出所,121.9447473,25.0165197
163,新北市政府警察局瑞芳分局澳底派出所,121.924545,25.0564016
164,新北市政府警察局瑞芳分局吉林派出所,121.8869572,25.0046335
165,新北市政府警察局瑞芳分局和美派出所,121.9135625,25.082929
166,新北市政府警察局金山分局暨金山派出所,121.6405491,25.2203031
167,新北市政府警察局金山分局重光派出所,121.6038361,25.2162933
168,新北市政府警察局交通警察大隊金山分隊,121.6437431,25.2244347
169,新北市政府警察局金山分局中角派出所,121.6294647,25.2653493
170,新北市警察局金山分局金山派出所,121.6405491,25.2203031
171,新北市政府警察局金山分局大鵬派出所,121.6466209,25.2123999
172,中角警局,121.6297901,25.2644436
173,新北市政府警察局金山分局乾華派出所,121.6085165,25.2799865
174,新北市政府警察局金山分局萬里分駐所,121.6894594,25.1779091
175,新北市政府警察局金山分局萬里分駐所,121.6894594,25.1779091
176,內政部警政署保安警察第二總隊第二大隊第三中隊,121.6728851,25.1994849
177,新北市政府警察局金山分局大鵬派出所,121.6466209,25.2123999
178,新北市政府警察局金山分局崁腳派出所,121.6507662,25.1603582
179,新北市政府警察局金山分局野柳派出所,121.6850561,25.2037678
180,新北市政府警察局新店分局孝義派出所(原烏玉檢查所),121.5712935,24.8500698
181,新北市政府警察局新店分局烏來分駐所,121.5520307,24.8648383
182,新北市政府警察局新店分局忠治派出所,121.5434009,24.882105
183,新北市政府警察局新店分局哪哮派出所 (原信賢派出所),121.5263192,24.8381798
184,新北市政府警察局新店分局桶壁派出所 (原忠治派出所),121.5493015,24.8843009
185,新北市政府警察局新店分局德拉楠派出所 (原 福山派出所),121.5019326,24.7780302
186,新北市政府警察局新店分局龜山派出所,121.551729,24.9026624
187,臺北市政府警察局松山分局,121.5525191,25.0511176
188,臺北市政府警察局松山分局松山派出所,121.5773215,25.0498409
189,臺北市政府警察局松山分局中崙派出所,121.5525406,25.0512343
190,臺北市政府警察局松山分局民有派出所,121.5481064,25.0617828
191,臺北市政府警察局松山分局三民派出所,121.5629259,25.0596618
192,臺北市政府警察局交通警察大隊松山交通分隊,121.5595735,25.0568086
193,臺北市政府警察局松山分局東社派出所,121.5514783,25.0567599
194,臺北市政府警察局信義分局,121.5677196,25.033108
195,臺北市政府警察局信義分局吳興街派出所,121.5639421,25.0265984
196,台北市政府警察局婦幼警察隊,121.5743077,25.0329672
197,臺北市政府警察局信義分局五分埔派出所,121.5758402,25.0456432
198,臺北市政府警察局信義分局福德街派出所,121.5817895,25.0373884
199,臺北市政府警察局信義分局六張犁派出所,121.5563316,25.027465
200,臺北市政府警察局大安分局,121.5332627,25.0377536
201,臺北市政府警察局交通警察大隊大安分隊,121.5357748,25.0350387
202,臺北市政府警察局大安分局新生南路派出所,121.534019,25.0377536
203,臺北市政府警察局大安分局安和路派出所,121.5521903,25.0329786
204,臺北市政府警察局大安分局敦化南路派出所,121.5439516,25.0390509
205,臺北市政府警察局大安分局和平東路派出所,121.5305213,25.0266273
206,臺北市政府警察局大安分局臥龍街派出所,121.5518484,25.0180093
207,臺北市政府警察局大安分局瑞安街派出所,121.545074,25.0311552
208,臺北市政府警察局大安分局羅斯福路派出所,121.5380237,25.0111615
209,臺北市政府警察局中山分局,121.5228489,25.0524542
210,臺北市政府警察局中山分局民權一派出所,121.5279507,25.0599555
211,臺北市政府警察局中山分局中山二派出所,121.5242758,25.0560686
