,V_ID,108|kmeans_6,108|kmeans_nocity_9,108|kmeans_nocity&county_7,108|c_,108|j_,108|ht_,108|s_,108|cs_,108|e_
40,65000210-008,0,6,1,0,1,3,0,6,2
41,65000020-072,4,1,2,1,1,8,1,13,1
42,65000020-019,4,5,2,1,1,6,1,13,1
43,65000020-052,4,1,2,1,1,8,1,11,1
44,65000020-041,4,3,2,0,1,8,1,14,1
45,65000020-026,4,6,1,1,1,6,1,6,0
46,65000020-029,4,3,2,1,1,8,1,14,1
47,65000020-005,4,3,2,0,1,8,1,14,0
48,65000020-002,1,7,3,0,1,7,1,2,0
49,65000020-095,4,6,1,0,0,6,1,6,1
50,65000020-096,4,6,1,1,1,13,1,6,1
51,65000020-104,4,5,2,1,0,7,1,13,1
52,65000020-109,4,3,2,0,1,6,1,14,0
53,65000020-119,4,6,1,1,0,13,1,6,1
54,65000020-032,4,1,2,1,1,8,1,14,1
55,65000020-097,4,6,1,1,0,13,1,6,1
56,65000020-034,4,6,2,1,1,8,1,4,1
57,65000020-118,4,1,2,1,0,7,1,11,1
58,65000020-065,4,1,2,1,1,6,1,1,1
59,65000020-074,4,1,2,1,1,8,1,1,1
60,65000020-020,4,3,2,1,0,6,1,14,1
61,65000020-035,4,3,2,1,1,8,1,14,1
62,65000020-021,4,6,2,0,1,6,1,4,1
63,65000020-013,4,6,2,1,0,6,1,4,1
64,65000020-057,4,1,2,1,1,6,1,1,1
65,65000020-036,4,3,2,0,1,8,1,14,1
66,65000020-014,4,7,0,1,0,6,1,1,0
67,65000020-077,4,5,2,1,0,8,1,13,1
68,65000020-078,1,7,3,1,0,6,1,13,0
69,65000020-110,4,5,2,1,0,7,1,13,1
70,65000020-083,4,1,2,1,1,6,1,1,1
71,65000020-027,4,3,2,1,1,6,1,14,1
72,65000020-022,4,6,2,0,1,6,1,4,1
73,65000020-023,4,6,1,0,1,6,1,6,1
74,65000020-043,4,3,2,1,1,8,1,14,1
75,65000020-086,4,7,0,1,1,6,1,1,0
76,65000020-028,4,3,2,1,1,8,1,14,0
77,65000020-042,4,6,2,1,1,8,1,4,1
78,65000020-031,4,6,2,1,1,6,1,4,1
79,65000020-060,4,1,2,1,1,6,0,1,1
80,65000020-001,1,5,3,0,0,7,1,2,1
81,65000020-071,4,1,2,0,1,6,1,1,1
82,65000020-075,4,1,2,1,1,8,1,1,1
83,65000020-107,1,7,3,1,1,7,1,13,0
84,65000020-106,4,5,2,1,1,7,1,13,1
85,65000020-105,1,7,3,0,0,7,1,13,0
86,65000020-085,4,1,2,1,1,6,1,1,1
87,65000020-082,4,1,2,1,0,6,1,1,0
88,65000020-030,4,3,2,1,1,8,1,14,1
89,65000020-076,1,7,3,1,0,8,1,13,0
90,65000020-006,4,6,1,0,1,6,1,4,0
91,65000020-033,4,6,2,1,1,8,1,4,1
92,65000020-102,1,7,3,1,1,7,1,13,0
93,65000020-100,4,1,2,1,1,7,1,1,1
94,65000020-101,4,1,2,1,0,7,1,11,1
95,65000020-099,4,1,2,1,1,7,1,11,1
96,65000020-103,4,1,2,1,0,13,1,1,1
97,65000020-098,4,1,2,1,1,7,1,11,1
98,65000020-007,4,6,2,0,0,6,1,4,1
99,65000020-080,4,1,2,0,1,6,1,1,1
100,65000020-051,4,1,2,1,1,8,1,1,1
101,65000020-049,4,1,2,1,1,8,1,1,1
102,65000020-047,4,3,2,1,1,8,1,14,1
103,65000020-048,4,1,2,1,1,8,1,4,1
104,65000020-045,1,6,1,1,0,8,1,6,0
105,65000020-112,4,1,2,1,1,7,1,1,1
106,65000020-091,4,1,2,1,0,7,1,1,1
107,65000020-087,4,1,2,1,0,6,1,1,0
108,65000020-025,4,3,2,1,1,6,1,14,1
109,65000020-090,4,1,4,1,0,7,1,11,0
110,65000020-092,4,1,2,1,1,7,1,1,1
111,65000020-113,4,5,2,1,0,7,1,13,1
112,65000020-088,4,1,2,1,1,7,1,11,1
113,65000020-089,4,1,2,1,0,7,1,11,1
114,65000020-040,4,1,2,0,1,6,0,14,1
115,65000020-115,4,1,2,1,0,7,1,1,1
116,65000020-114,4,1,2,1,0,7,1,1,1
117,65000020-039,4,3,2,0,1,6,1,14,0
118,65000020-093,4,1,2,1,0,6,1,1,1
119,65000020-081,4,7,0,1,1,6,1,1,0
120,65000020-017,1,7,3,1,0,6,1,13,0
121,65000020-018,4,5,2,1,0,6,1,13,1
122,65000020-015,1,7,3,1,0,6,1,13,0
123,65000020-108,4,7,0,1,0,7,1,1,0
124,65000020-038,4,3,2,0,1,8,1,14,0
125,65000020-073,4,1,2,1,1,8,1,1,1
126,65000020-111,4,6,2,1,0,6,1,4,1
127,65000020-037,4,6,2,1,1,8,1,6,1
128,65000020-117,4,1,2,1,0,7,1,11,1
129,65000020-009,4,6,1,1,1,6,1,6,1
130,65000020-016,4,5,2,1,1,7,1,13,1
131,65000020-008,4,3,2,1,0,6,1,14,1
132,65000020-094,4,1,2,1,0,6,1,1,1
133,65000020-070,4,1,2,1,1,6,1,1,1
134,65000020-116,4,5,2,1,1,8,1,13,1
135,65000020-084,4,1,2,1,1,6,1,1,1
136,65000020-050,4,1,2,1,1,8,1,1,1
137,65000020-024,4,3,2,1,1,6,1,14,1
138,65000020-066,4,1,2,1,1,6,1,1,1
139,65000020-004,4,6,1,0,1,6,1,4,0
140,65000020-010,4,3,2,1,0,6,1,14,1
141,65000020-046,4,1,2,1,1,8,1,14,1
142,65000020-012,4,3,2,1,1,6,1,14,0
143,65000020-044,4,3,2,1,1,8,1,14,0
144,65000020-055,4,1,2,1,1,8,1,11,1
145,65000020-067,4,5,2,0,1,6,1,13,1
146,65000020-011,4,6,2,1,1,6,1,4,1
147,65000020-054,4,6,2,1,1,8,1,6,1
148,65000020-061,4,1,2,1,1,6,1,11,1
149,65000020-056,4,1,2,1,1,8,1,11,1
150,65000020-062,4,1,2,0,1,6,1,1,1
151,65000020-063,4,1,2,1,1,6,1,11,1
152,65000020-058,4,1,2,1,1,6,1,11,1
153,65000020-064,4,5,2,0,1,6,1,13,1
154,65000020-059,4,1,2,0,1,6,0,1,1
155,65000020-053,4,1,2,1,1,8,1,1,1
156,65000020-003,4,6,1,0,1,6,0,6,1
157,65000020-079,4,5,2,1,1,6,1,13,1
158,65000020-068,4,1,2,0,1,6,1,1,1
159,65000020-069,4,1,2,1,1,6,1,1,1
160,65000030-001,2,3,4,0,0,3,1,8,2
161,65000030-023,2,3,6,1,2,0,1,9,0
162,65000030-083,1,5,3,1,1,3,1,5,1
163,65000030-005,1,5,3,1,0,3,1,5,1
164,65000030-081,1,6,1,1,1,3,1,4,0
165,65000030-004,1,5,3,1,0,3,1,5,1
166,65000030-019,2,7,0,1,1,3,1,12,0
167,65000030-003,1,5,3,1,0,13,1,5,1
168,65000030-042,1,7,1,0,0,3,2,13,0
169,65000030-090,0,5,5,1,1,1,0,13,1
170,65000030-009,2,7,0,1,1,3,1,12,0
171,65000030-026,2,3,2,1,1,3,1,9,1
172,65000030-082,4,1,2,1,1,13,1,11,1
173,65000030-046,2,3,2,1,1,3,1,10,1
174,65000030-088,2,3,6,0,0,1,0,10,1
175,65000030-057,2,1,2,1,0,1,0,14,1
176,65000030-089,1,7,3,0,0,1,1,2,0
177,65000030-060,1,7,3,0,0,1,1,2,0
178,65000030-058,1,7,3,0,1,1,1,2,0
179,65000030-069,0,5,5,1,1,0,0,13,1
180,65000030-091,0,5,5,1,1,0,0,13,1
181,65000030-043,2,1,2,0,1,13,1,1,0
182,65000030-070,0,4,5,1,1,0,0,2,0
183,65000030-044,2,1,4,1,0,3,1,11,0
184,65000030-021,4,6,2,1,1,3,1,4,1
185,65000030-022,4,1,2,1,2,3,1,1,1
186,65000030-020,2,3,6,1,1,0,1,10,0
187,65000030-062,1,5,3,1,0,13,1,2,1
188,65000030-075,4,1,2,1,1,3,1,4,1
189,65000030-074,4,6,2,1,1,3,1,4,1
190,65000030-039,2,4,0,1,1,13,0,7,0
191,65000030-002,2,5,0,1,0,3,1,3,1
192,65000030-012,2,3,6,1,0,3,1,9,0
193,65000030-006,1,5,3,1,1,3,1,5,1
194,65000030-045,4,3,2,1,0,3,1,14,1
195,65000030-067,0,4,5,1,1,1,0,13,0
196,65000030-073,1,7,3,1,2,3,1,13,0
197,65000030-038,2,1,2,1,0,13,0,1,1
198,65000030-059,1,5,3,1,0,13,1,5,1
199,65000030-025,2,3,2,1,2,3,1,4,1
200,65000030-071,0,4,5,1,0,0,0,13,0
201,65000030-064,1,7,3,0,1,1,1,13,0
202,65000030-040,2,3,4,0,1,13,0,8,0
203,65000030-050,4,1,2,1,1,3,1,11,1
204,65000030-047,4,1,2,1,1,3,1,14,1
205,65000030-051,2,3,2,1,1,3,1,9,1
206,65000030-048,4,1,2,1,1,13,1,13,1
207,65000030-079,4,1,2,1,1,13,1,14,1
208,65000030-049,4,1,2,1,1,13,1,11,1
209,65000030-036,2,1,6,1,1,13,0,9,1
210,65000030-010,2,7,0,1,1,3,1,12,0
211,65000030-041,1,6,1,0,1,3,2,6,0
212,65000030-092,5,1,2,1,1,13,0,1,1
213,65000030-093,1,5,3,1,1,3,1,0,1
214,65000030-056,1,7,3,1,1,1,1,13,0
215,65000030-061,1,7,3,1,0,1,1,2,0
216,65000030-087,0,4,5,1,1,1,0,13,0
217,65000030-068,0,6,1,1,0,0,0,6,1
218,65000030-024,4,1,2,1,1,3,1,1,1
219,65000030-065,0,4,5,1,1,0,0,13,0
220,65000030-011,2,7,0,1,1,3,1,12,0
221,65000030-054,1,6,1,0,1,13,2,6,1
222,65000030-063,0,6,1,1,1,1,0,6,1
223,65000030-017,1,6,1,1,0,13,2,6,1
224,65000030-084,4,1,2,0,1,3,1,11,1
225,65000030-080,2,1,2,1,0,13,2,1,0
226,65000030-018,2,7,0,1,1,3,1,12,0
227,65000030-014,2,3,2,1,0,13,1,10,1
228,65000030-013,4,1,2,1,0,3,1,14,1
229,65000030-016,2,7,0,1,0,13,1,12,0
230,65000030-015,2,5,0,1,0,3,1,12,1
231,65000030-033,2,3,6,1,1,3,1,10,0
232,65000030-077,4,6,2,1,1,13,1,6,1
233,65000030-027,2,3,4,1,1,1,1,8,0
234,65000030-032,2,3,4,1,1,13,0,8,0
235,65000030-028,2,3,6,1,1,13,1,10,0
236,65000030-031,2,3,2,1,1,3,1,10,1
237,65000030-030,2,3,4,0,0,0,0,8,2
238,65000030-072,2,3,2,1,1,13,1,8,1
239,65000030-029,2,0,0,1,1,1,1,4,0
240,65000030-076,2,3,2,1,1,1,1,10,1
241,65000030-055,2,3,6,1,0,1,1,9,0
242,65000030-066,0,4,5,1,0,0,0,13,0
243,65000030-078,5,1,4,1,1,13,0,11,1
244,65000030-037,0,4,5,1,1,13,0,2,0
245,65000030-035,0,4,5,1,0,13,0,13,0
246,65000030-007,2,3,2,0,1,3,1,8,1
247,65000030-008,2,3,6,1,0,3,1,10,0
248,65000030-085,1,7,3,0,0,3,1,5,0
249,65000030-052,1,7,3,0,0,3,1,5,0
250,65000030-053,1,7,3,0,1,3,1,5,0
251,65000030-086,1,7,3,1,0,3,1,5,0
252,65000030-034,1,7,1,1,1,13,2,13,0
253,65000150-009,0,4,5,0,0,13,0,2,0
254,65000150-008,0,4,5,0,0,13,0,2,0
255,65000150-007,1,6,1,0,1,1,2,6,0
256,65000150-015,0,6,1,0,0,13,0,6,0
257,65000150-013,1,0,3,0,0,7,1,0,0
258,65000150-010,0,4,5,0,0,13,0,2,0
259,65000150-006,0,6,1,0,0,3,0,6,0
260,65000150-005,1,7,3,0,0,3,1,2,0
261,65000150-014,1,6,1,0,0,3,1,6,2
262,65000150-018,0,4,5,0,0,3,0,2,0
263,65000150-002,0,0,5,0,1,6,0,0,0
264,65000150-017,0,4,5,0,0,13,0,2,0
265,65000150-019,0,0,5,0,0,7,0,0,0
266,65000150-020,0,4,5,0,0,7,0,2,0
267,65000150-001,2,0,0,0,0,7,0,4,0
268,65000150-004,1,6,1,0,1,12,2,6,0
269,65000150-012,1,0,3,1,1,7,1,0,0
270,65000150-011,0,6,1,1,1,13,0,6,0
271,65000150-003,1,6,1,0,0,1,1,6,0
272,65000150-016,1,6,1,0,0,1,1,6,0
273,65000230-010,1,6,1,0,1,1,1,6,2
274,65000230-004,1,0,3,0,0,9,2,0,2
275,65000230-003,1,0,3,0,1,2,1,0,2
276,65000230-002,1,7,3,0,1,2,1,2,2
277,65000230-006,1,7,3,0,0,12,1,2,0
278,65000230-008,1,7,3,0,1,1,1,13,0
279,65000230-007,1,0,3,0,0,12,1,0,2
280,65000230-009,0,4,5,0,1,1,0,2,0
281,65000230-005,1,0,3,0,1,12,1,0,2
282,65000230-001,2,7,0,0,0,12,1,12,2
283,65000130-017,1,6,1,1,0,13,2,6,1
284,65000130-041,2,4,0,1,1,0,0,5,0
285,65000130-004,2,0,0,0,0,3,0,4,0
286,65000130-037,2,3,6,1,0,3,0,10,0
287,65000130-003,2,2,6,1,0,0,0,9,0
288,65000130-033,2,2,6,1,0,0,0,9,0
289,65000130-002,2,3,6,1,1,3,0,10,0
290,65000130-001,2,3,6,0,0,3,0,10,0
291,65000130-010,2,2,6,1,0,0,0,3,0
292,65000130-020,2,3,6,0,0,1,0,10,0
293,65000130-042,2,4,0,1,1,0,0,5,0
294,65000130-029,2,2,6,1,1,0,0,3,0
295,65000130-039,2,3,6,1,1,0,0,10,0
296,65000130-031,0,5,5,1,0,1,0,2,1
297,65000130-018,0,0,5,1,0,1,0,0,0
298,65000130-028,0,4,5,1,0,0,0,5,0
299,65000130-044,0,4,5,1,1,0,0,5,0
300,65000130-034,0,4,5,0,0,1,0,2,0
301,65000130-040,0,5,5,1,0,1,0,2,1
302,65000130-030,0,4,5,1,0,1,0,2,0
303,65000130-047,0,0,5,1,0,1,0,0,0
304,65000130-019,0,4,5,0,0,1,0,2,0
305,65000130-035,0,0,5,1,0,10,0,0,0
306,65000130-007,2,2,6,0,0,0,0,9,0
307,65000130-006,2,3,6,1,0,0,1,9,0
308,65000130-043,2,3,6,1,1,0,0,10,0
309,65000130-009,0,4,5,0,1,0,0,5,0
310,65000130-027,2,2,6,1,0,0,0,3,1
311,65000130-038,0,4,5,1,0,1,0,2,0
312,65000130-021,2,1,6,0,0,1,0,1,0
313,65000130-014,0,4,5,1,0,1,0,5,0
314,65000130-022,2,2,6,0,0,1,0,9,0
315,65000130-015,1,6,1,0,1,3,1,6,0
316,65000130-013,1,6,1,0,0,3,1,6,0
317,65000130-012,0,4,5,1,0,1,0,5,0
318,65000130-016,0,4,5,1,0,1,0,5,0
319,65000130-011,5,1,2,1,1,10,0,4,1
320,65000130-026,0,0,5,0,1,13,0,0,0
321,65000130-036,2,3,6,0,0,0,1,10,0
322,65000130-008,2,3,6,0,0,0,0,10,0
323,65000130-046,0,5,5,1,0,1,0,2,1
324,65000130-005,2,4,0,1,1,3,0,12,0
325,65000130-045,0,4,5,0,1,1,0,13,0
326,65000130-032,0,4,5,0,1,3,0,5,0
327,65000130-023,2,2,6,0,0,13,0,9,0
328,65000130-025,0,0,5,1,1,13,0,0,0
329,65000130-024,2,0,0,0,0,13,0,4,0
330,65000200-005,1,0,3,0,1,13,1,0,0
331,65000200-002,1,7,3,0,1,3,1,2,0
332,65000200-003,1,7,3,0,1,6,1,2,0
333,65000200-006,1,7,3,0,1,3,1,2,0
334,65000200-007,1,0,3,0,1,13,1,0,0
335,65000200-004,1,6,1,0,1,13,1,6,0
336,65000200-001,1,6,1,0,1,13,1,6,0
337,65000240-011,1,0,3,0,1,13,1,0,0
338,65000240-009,1,0,3,0,1,13,1,0,0
339,65000240-006,0,0,5,0,1,3,0,0,0
340,65000240-010,1,6,1,0,1,13,1,6,0
341,65000240-005,0,4,5,0,1,3,0,2,0
342,65000240-012,1,6,1,0,1,13,1,6,0
343,65000240-008,1,6,1,0,1,13,2,6,0
344,65000240-007,0,6,1,0,1,3,0,6,0
345,65000240-003,0,4,5,0,1,6,0,2,0
346,65000240-004,0,4,5,0,1,3,0,2,0
347,65000240-002,0,4,5,0,1,6,3,2,0
348,65000240-001,1,6,1,0,1,13,2,6,0
349,65000060-013,1,7,1,0,1,13,2,13,0
350,65000060-054,2,3,6,1,2,6,0,14,2
351,65000060-052,2,3,6,0,2,8,0,10,2
352,65000060-044,2,1,4,1,1,6,0,7,1
353,65000060-037,2,1,6,0,2,7,0,1,0
354,65000060-045,2,3,6,0,2,6,0,10,2
355,65000060-041,1,6,1,0,2,13,2,6,1
356,65000060-046,2,1,4,1,1,6,0,7,1
357,65000060-008,2,3,6,1,1,5,0,10,0
358,65000060-016,1,7,1,0,0,6,2,13,0
359,65000060-057,1,6,1,1,1,3,2,6,0
360,65000060-053,2,3,6,1,1,8,0,14,0
361,65000060-023,1,0,3,0,0,13,1,0,0
362,65000060-033,2,3,6,0,1,7,2,9,2
363,65000060-001,2,3,4,1,1,8,0,8,0
364,65000060-021,1,0,3,0,1,13,1,0,2
365,65000060-004,2,3,6,1,1,5,0,10,1
366,65000060-003,2,3,6,1,1,5,0,10,0
367,65000060-010,2,0,0,0,1,8,0,4,0
368,65000060-011,2,3,6,0,1,7,1,9,2
369,65000060-056,2,4,0,0,0,13,0,12,2
370,65000060-064,1,6,1,1,1,6,2,6,0
371,65000060-007,2,3,4,1,2,5,0,8,1
372,65000060-058,2,4,0,0,0,6,0,12,0
373,65000060-006,2,3,4,0,2,8,0,8,0
374,65000060-059,1,7,3,0,1,3,2,2,0
375,65000060-026,1,0,3,0,1,13,1,0,2
376,65000060-035,2,1,6,0,1,7,0,1,0
377,65000060-028,1,0,3,0,1,13,1,0,2
378,65000060-061,2,3,6,1,1,6,0,10,1
379,65000060-040,2,1,4,1,2,6,0,7,1
380,65000060-032,2,2,6,0,1,7,0,9,2
381,65000060-062,2,3,4,0,1,5,0,8,0
382,65000060-017,1,7,3,0,0,3,2,2,0
383,65000060-009,2,0,0,0,1,8,0,4,0
384,65000060-043,2,3,6,1,1,6,0,10,1
385,65000060-034,2,2,6,0,1,7,0,9,0
386,65000060-036,2,1,6,1,1,7,0,1,0
387,65000060-066,2,3,6,1,1,13,0,10,0
388,65000060-042,2,3,6,1,0,6,0,10,1
389,65000060-031,2,3,6,0,1,7,2,9,2
390,65000060-039,2,1,4,1,1,6,0,7,1
391,65000060-038,2,1,6,0,2,6,0,9,1
392,65000060-019,1,0,3,0,0,13,2,0,0
393,65000060-055,1,7,3,0,1,3,2,2,0
394,65000060-002,2,3,4,1,1,8,0,8,0
395,65000060-014,0,4,5,0,0,3,0,13,0
396,65000060-015,0,0,5,0,0,13,0,0,2
397,65000060-067,0,0,5,1,0,13,0,0,0
398,65000060-005,2,3,6,1,2,5,0,10,1
399,65000060-020,1,6,1,1,0,3,2,6,0
400,65000060-048,2,0,0,1,1,8,0,4,0
401,65000060-047,2,0,0,1,1,6,0,4,0
402,65000060-050,2,3,6,1,2,6,0,10,0
403,65000060-029,1,0,3,0,1,13,1,0,2
404,65000060-049,2,0,0,1,1,8,0,4,0
405,65000060-051,2,3,6,0,2,6,0,10,2
406,65000060-025,1,6,1,0,1,13,1,6,2
407,65000060-063,1,6,1,0,1,7,1,6,0
408,65000060-022,1,6,1,0,0,7,1,6,0
409,65000060-069,1,6,1,0,2,13,2,6,0
410,65000060-068,1,6,1,0,1,3,2,6,0
411,65000060-065,0,4,5,0,2,7,0,13,0
412,65000060-024,1,0,3,0,1,13,1,0,0
413,65000060-018,1,7,3,0,0,3,2,2,0
414,65000060-030,1,0,3,0,0,7,1,0,2
415,65000060-012,2,3,6,0,1,6,0,14,2
416,65000060-060,1,0,3,0,0,1,2,0,0
417,65000060-027,1,6,1,0,1,13,1,6,2
418,65000050-054,1,7,3,1,0,7,1,2,0
419,65000050-058,1,5,3,1,0,6,1,2,1
420,65000050-053,2,8,4,1,0,7,0,3,0
421,65000050-014,0,4,5,1,0,5,0,5,0
422,65000050-057,1,5,3,1,1,7,1,2,1
423,65000050-075,1,5,3,1,0,7,1,2,1
424,65000050-017,0,5,5,1,0,8,0,2,1
425,65000050-023,1,5,3,1,0,6,1,2,1
426,65000050-011,2,5,0,1,0,5,0,5,1
427,65000050-051,0,5,5,1,1,8,0,0,1
428,65000050-020,1,5,3,1,1,6,1,0,1
429,65000050-052,2,0,0,1,0,6,0,4,0
430,65000050-043,2,8,4,0,0,7,0,7,0
431,65000050-028,2,3,6,1,1,6,1,10,0
432,65000050-061,2,3,2,1,0,6,1,10,1
433,65000050-030,2,3,6,1,0,6,1,9,0
434,65000050-084,0,5,5,1,1,6,0,0,1
435,65000050-044,0,0,5,1,0,6,0,0,0
436,65000050-041,0,5,5,1,0,3,0,0,1
437,65000050-083,0,5,5,1,0,6,0,0,1
438,65000050-038,0,5,5,1,0,13,0,0,1
439,65000050-004,2,5,0,1,0,5,0,5,1
440,65000050-060,2,5,0,1,1,5,0,5,1
441,65000050-012,0,5,5,1,0,6,0,2,1
442,65000050-036,2,3,2,0,1,5,1,10,1
443,65000050-027,2,5,0,1,0,13,0,12,1
444,65000050-046,2,5,0,1,0,7,0,12,1
445,65000050-033,2,1,6,1,0,6,0,9,1
446,65000050-055,2,5,0,1,0,6,0,12,1
447,65000050-003,2,0,0,0,1,5,0,4,0
448,65000050-024,2,1,6,1,1,7,0,9,1
449,65000050-078,2,1,2,1,0,7,0,1,1
450,65000050-047,2,5,0,1,0,6,1,12,1
451,65000050-070,0,5,5,0,0,8,0,2,1
452,65000050-056,2,5,0,1,1,6,0,12,1
453,65000050-069,2,1,6,1,1,6,0,9,1
454,65000050-009,2,5,0,1,0,6,0,12,1
455,65000050-007,0,5,5,1,0,5,0,5,1
456,65000050-025,2,3,6,0,0,5,0,10,1
457,65000050-039,2,3,6,1,0,8,0,10,1
458,65000050-008,2,8,4,1,1,5,0,7,0
459,65000050-071,0,5,5,1,0,6,0,2,1
460,65000050-019,2,1,6,0,1,5,0,9,1
461,65000050-022,2,8,4,0,1,5,0,7,2
462,65000050-065,2,2,6,1,1,5,0,3,1
463,65000050-010,2,1,2,1,1,5,0,1,1
464,65000050-073,2,5,0,1,1,7,0,12,1
465,65000050-064,2,2,6,1,2,7,0,9,0
466,65000050-063,2,4,0,1,1,6,0,12,0
467,65000050-074,1,5,3,1,1,6,1,2,1
468,65000050-016,2,2,6,1,0,11,0,3,0
469,65000050-081,0,5,5,1,0,6,0,2,1
470,65000050-032,0,5,5,1,0,6,0,0,1
471,65000050-082,1,5,3,1,0,3,1,0,1
472,65000050-035,0,5,5,1,0,3,0,0,1
473,65000050-077,2,4,0,0,1,10,0,12,2
474,65000050-001,0,5,5,1,0,5,0,0,1
475,65000050-040,2,8,4,0,1,5,0,7,0
476,65000050-018,0,0,5,0,0,11,0,0,2
477,65000050-080,1,0,3,1,1,7,1,0,0
478,65000050-005,2,2,6,0,1,7,0,9,0
479,65000050-068,2,1,4,0,1,5,0,7,1
480,65000050-072,2,3,6,0,0,7,0,14,0
481,65000050-026,2,8,4,0,1,5,0,3,0
482,65000050-034,0,5,5,1,0,8,0,5,1
483,65000050-062,2,7,0,1,0,7,1,12,0
484,65000050-076,2,3,6,1,0,7,1,9,0
485,65000050-029,2,4,0,0,1,5,0,5,0
486,65000050-037,0,5,5,1,0,8,0,5,1
487,65000050-059,0,5,5,1,0,8,0,5,1
488,65000050-031,0,5,5,1,1,8,0,5,1
489,65000050-049,2,3,2,1,1,6,1,4,1
490,65000050-042,0,5,5,1,1,8,0,0,1
491,65000050-045,2,0,0,1,0,8,0,4,0
492,65000050-013,2,2,6,1,1,10,0,3,0
493,65000050-066,2,1,2,1,0,7,0,1,1
494,65000050-021,2,4,0,1,0,7,0,12,0
495,65000050-015,0,4,5,0,0,0,0,2,0
496,65000050-006,0,5,5,1,0,5,0,0,1
497,65000050-048,2,3,6,0,0,7,1,10,0
498,65000050-002,2,1,6,0,0,8,0,9,1
499,65000050-067,0,4,5,1,1,13,0,2,0
500,65000050-079,2,3,2,1,1,13,1,10,1
501,65000050-050,2,3,6,1,0,13,1,10,0
502,65000010-092,5,3,6,0,0,10,0,14,0
503,65000010-010,5,4,0,0,0,10,0,5,2
504,65000010-058,5,5,0,1,1,1,0,4,1
505,65000010-123,0,4,5,1,0,11,0,2,0
506,65000010-081,5,1,0,1,1,11,0,1,0
507,65000010-034,5,1,2,1,1,0,2,1,1
508,65000010-026,5,1,4,1,1,3,0,11,1
509,65000010-088,5,5,0,1,0,11,0,4,1
510,65000010-091,5,4,5,1,0,1,0,13,0
511,65000010-060,5,6,1,1,1,1,3,4,0
512,65000010-053,0,0,5,0,1,3,0,0,2
513,65000010-114,5,5,2,1,1,3,1,13,1
514,65000010-013,5,5,5,1,1,11,0,13,1
515,65000010-021,5,6,1,1,1,13,2,6,1
516,65000010-036,5,5,5,1,0,0,0,5,1
517,65000010-082,0,4,5,1,1,11,0,2,0
518,65000010-014,5,1,2,1,1,0,1,4,1
519,65000010-073,5,1,2,1,1,0,0,1,1
520,65000010-054,5,5,5,1,0,13,3,0,1
521,65000010-061,5,6,2,1,1,13,3,4,1
522,65000010-112,1,7,3,0,0,3,1,2,2
523,65000010-094,5,6,1,1,0,0,0,6,0
524,65000010-125,1,7,3,1,0,1,1,13,0
525,65000010-079,5,5,5,1,0,11,0,13,1
526,65000010-033,5,4,0,0,0,11,0,12,0
527,65000010-107,0,0,5,1,1,13,3,0,0
528,65000010-120,1,5,3,1,1,13,1,0,1
529,65000010-098,1,7,3,1,0,3,1,13,0
530,65000010-045,5,6,2,1,1,13,3,4,1
531,65000010-023,5,5,2,1,0,0,1,5,1
