VILLAGE,COUNTY,TOWN,V_ID,QoL,Child Dependency Ratio,Elderly Dependency Ratio,Social Increase,Average Income,Metro 300 Multi,Metro 500 Multi
東光里,臺北市,松山區,63000010-011,"4.1541942679318735","0.2","0.5","0.1","0.5","0.0","0.0"
龍田里,臺北市,松山區,63000010-012,"5.216574209581662","0.5","0.4","0.1","0.5","0.0","0.0"
東昌里,臺北市,松山區,63000010-013,"2.777325744637755","0.5","0.5","0.2","0.5","0.0","0.0"
東勢里,臺北市,松山區,63000010-014,"5.513143351783968","0.5","0.5","0.2","0.5","0.0","0.0"
中華里,臺北市,松山區,63000010-015,"8.40057115228326","0.5","0.5","0.2","0.5","0.0","1.0"
民有里,臺北市,松山區,63000010-016,"6.656878956326456","0.4","0.5","0.1","0.5","0.0","1.0"
民福里,臺北市,松山區,63000010-017,"4.644754449517423","0.2","0.5","0.1","0.4","0.0","1.0"
慈祐里,臺北市,松山區,63000010-018,"5.762282335921436","0.2","0.4","0.2","0.4","0.0","0.0"
安平里,臺北市,松山區,63000010-019,"3.0517479691172573","0.3","0.4","0.1","0.4","0.0","0.0"
鵬程里,臺北市,松山區,63000010-020,"3.8339271626950584","0.2","0.3","0.2","0.5","0.0","0.0"
自強里,臺北市,松山區,63000010-021,"3.3346612678800485","0.4","0.5","0.1","0.5","0.0","0.0"
吉祥里,臺北市,松山區,63000010-022,"4.212616704353075","0.4","0.5","0.1","0.5","0.0","0.0"
新聚里,臺北市,松山區,63000010-024,"3.7131795626603985","0.4","0.4","0.1","0.5","0.0","0.0"
復盛里,臺北市,松山區,63000010-025,"3.6337182777766293","0.3","0.5","0.1","0.4","0.0","0.0"
中正里,臺北市,松山區,63000010-026,"8.733315018965756","0.5","0.3","0.1","0.5","0.0","1.0"
中崙里,臺北市,松山區,63000010-027,"5.271814847963635","0.5","0.2","0.3","0.5","0.0","0.0"
美仁里,臺北市,松山區,63000010-028,"7.068844211585354","0.5","0.4","0.3","0.5","0.0","0.0"
吉仁里,臺北市,松山區,63000010-029,"5.0937507972519915","0.5","0.4","0.2","0.5","0.0","0.0"
敦化里,臺北市,松山區,63000010-030,"6.258779351639733","0.5","0.4","0.1","0.5","0.0","0.0"
復源里,臺北市,松山區,63000010-031,"4.995234557260693","0.5","0.4","0.2","0.5","0.0","0.0"
復建里,臺北市,松山區,63000010-032,"4.967390547391181","0.5","0.3","0.4","0.5","0.0","0.0"
復勢里,臺北市,松山區,63000010-033,"5.549308565300878","0.5","0.4","0.1","0.5","0.0","0.0"
福成里,臺北市,松山區,63000010-034,"6.364207540367886","0.5","0.5","0.3","0.5","0.0","0.0"
松基里,臺北市,松山區,63000010-035,"6.680925831044071","0.4","0.5","0.3","0.5","0.0","1.0"
西村里,臺北市,信義區,63000020-001,"6.895819869028267","0.3","0.5","0.5","0.4","0.0","1.0"
正和里,臺北市,信義區,63000020-002,"4.918541657948358","0.5","0.5","0.1","0.5","0.0","1.0"
興隆里,臺北市,信義區,63000020-003,"5.951283677730373","0.4","0.5","0.1","0.5","0.0","1.0"
中興里,臺北市,信義區,63000020-004,"4.918767899270976","0.4","0.5","0.1","0.5","0.0","1.0"
新仁里,臺北市,信義區,63000020-005,"6.2929115640167685","0.5","0.5","0.2","0.5","0.0","1.0"
興雅里,臺北市,信義區,63000020-006,"4.973803305321223","0.3","0.5","0.1","0.5","0.0","0.0"
敦厚里,臺北市,信義區,63000020-007,"4.197237003712041","0.4","0.4","0.2","0.5","0.0","0.0"
廣居里,臺北市,信義區,63000020-008,"6.2094936770987115","0.5","0.4","0.1","0.5","0.0","1.0"
安康里,臺北市,信義區,63000020-009,"7.091198200539083","0.5","0.4","0.1","0.5","0.0","0.0"
六藝里,臺北市,信義區,63000020-010,"2.253912552162166","0.5","0.3","0.2","0.4","0.0","0.0"
雅祥里,臺北市,信義區,63000020-011,"2.60804329536077","0.3","0.3","0.1","0.5","0.0","0.0"
五常里,臺北市,信義區,63000020-012,"3.50891098455792","0.3","0.4","0.2","0.4","0.0","1.0"
五全里,臺北市,信義區,63000020-013,"4.127908819566352","0.2","0.4","0.1","0.4","0.0","1.0"
永吉里,臺北市,信義區,63000020-014,"4.767197937503815","0.3","0.3","0.1","0.3","0.0","1.0"
長春里,臺北市,信義區,63000020-015,"4.136926171557745","0.1","0.3","0.1","0.3","0.0","0.0"
四育里,臺北市,信義區,63000020-016,"5.273721580712231","0.2","0.4","0.2","0.4","0.0","1.0"
四維里,臺北市,信義區,63000020-017,"3.8719681966259545","0.2","0.5","0.1","0.4","0.0","1.0"
永春里,臺北市,信義區,63000020-018,"5.559245805170963","0.3","0.4","0.1","0.4","0.0","1.0"
富臺里,臺北市,信義區,63000020-019,"4.947021978789392","0.4","0.3","0.2","0.5","0.0","1.0"
國業里,臺北市,信義區,63000020-020,"3.617067679663663","0.5","0.4","0.1","0.5","0.0","0.0"
松隆里,臺北市,信義區,63000020-021,"2.0161272408094035","0.2","0.4","0.3","0.3","0.0","0.0"
松友里,臺北市,信義區,63000020-022,"3.6794189013530634","0.5","0.4","0.1","0.4","0.0","0.0"
松光里,臺北市,信義區,63000020-023,"5.4287111846829","0.2","0.5","0.1","0.4","0.0","1.0"
中坡里,臺北市,信義區,63000020-024,"3.393966883545972","0.2","0.4","0.1","0.3","0.0","0.0"
中行里,臺北市,信義區,63000020-025,"2.7282345110377784","0.3","0.4","0.1","0.3","0.0","0.0"
大道里,臺北市,信義區,63000020-026,"6.248294903552371","0.2","0.4","0.1","0.4","0.0","1.0"
大仁里,臺北市,信義區,63000020-027,"2.256684732486462","0.2","0.5","0.1","0.3","0.0","0.0"
景新里,臺北市,信義區,63000020-028,"7.5176060397687365","0.5","0.5","0.1","0.5","0.0","1.0"
惠安里,臺北市,信義區,63000020-029,"4.77860525717213","0.2","0.3","0.1","0.4","0.0","0.0"
三張里,臺北市,信義區,63000020-030,"6.360108067806287","0.3","0.5","0.1","0.5","0.0","1.0"
三犁里,臺北市,信義區,63000020-031,"6.33009267101471","0.3","0.5","0.1","0.5","0.0","0.0"
六合里,臺北市,信義區,63000020-032,"3.226217349428924","0.2","0.4","0.1","0.5","0.0","0.0"
泰和里,臺北市,信義區,63000020-033,"1.2291696805996801","0.3","0.3","0.1","0.4","0.0","0.0"
景聯里,臺北市,信義區,63000020-034,"4.113359215664512","0.2","0.5","0.2","0.4","0.0","0.0"
景勤里,臺北市,信義區,63000020-035,"3.8883236893081","0.2","0.4","0.1","0.4","0.0","0.0"
雙和里,臺北市,信義區,63000020-036,"4.8132558542647566","0.3","0.4","0.1","0.4","0.0","0.0"
嘉興里,臺北市,信義區,63000020-037,"1.8070075110334627","0.1","0.5","0.2","0.4","0.0","0.0"
黎順里,臺北市,信義區,63000020-038,"5.2539002278664","0.2","0.4","0.1","0.5","0.0","1.0"
黎平里,臺北市,信義區,63000020-039,"3.4792868185237578","0.3","0.4","0.1","0.4","0.0","1.0"
黎忠里,臺北市,信義區,63000020-040,"3.3984025542722853","0.2","0.4","0.2","0.4","0.0","1.0"
黎安里,臺北市,信義區,63000020-041,"2.7643400059434056","0.1","0.5","0.2","0.3","0.0","0.0"
德安里,臺北市,大安區,63000030-001,"7.03081470281244","0.5","0.5","0.1","0.5","0.0","1.0"
仁慈里,臺北市,大安區,63000030-002,"6.099134797941816","0.5","0.4","0.3","0.5","0.0","1.0"
和安里,臺北市,大安區,63000030-003,"7.177423280627999","0.5","0.4","0.1","0.5","0.0","1.0"
民炤里,臺北市,大安區,63000030-004,"7.091844557182988","0.5","0.5","0.2","0.5","0.0","1.0"
仁愛里,臺北市,大安區,63000030-005,"6.801786335025313","0.5","0.5","0.1","0.5","0.0","1.0"
義村里,臺北市,大安區,63000030-006,"6.073726134294459","0.2","0.5","0.1","0.5","0.0","1.0"
民輝里,臺北市,大安區,63000030-007,"6.522305568066303","0.4","0.5","0.1","0.5","0.0","1.0"
昌隆里,臺北市,大安區,63000030-008,"3.24107340502412","0.1","0.5","0.3","0.5","0.0","0.0"
誠安里,臺北市,大安區,63000030-009,"3.889933820510724","0.2","0.5","0.1","0.5","0.0","0.0"
光武里,臺北市,大安區,63000030-010,"7.242103020304068","0.5","0.5","0.1","0.5","0.0","1.0"
龍坡里,臺北市,大安區,63000030-011,"5.374388955837738","0.5","0.5","0.1","0.5","0.0","0.0"
龍泉里,臺北市,大安區,63000030-012,"4.070128646978612","0.5","0.4","0.3","0.5","0.0","0.0"
古風里,臺北市,大安區,63000030-013,"5.332745593209417","0.5","0.5","0.3","0.5","0.0","0.0"
古莊里,臺北市,大安區,63000030-014,"5.939957828254998","0.5","0.4","0.3","0.5","0.0","1.0"
龍安里,臺北市,大安區,63000030-015,"4.902876548357206","0.5","0.4","0.5","0.5","0.0","1.0"
錦安里,臺北市,大安區,63000030-016,"5.330884175804084","0.5","0.4","0.3","0.5","0.0","1.0"
福住里,臺北市,大安區,63000030-017,"7.059651567686571","0.5","0.3","0.1","0.5","0.0","1.0"
永康里,臺北市,大安區,63000030-018,"4.579984325302506","0.5","0.4","0.3","0.5","0.0","0.0"
光明里,臺北市,大安區,63000030-019,"6.115924668448782","0.5","0.3","0.5","0.5","0.0","0.0"
錦泰里,臺北市,大安區,63000030-020,"6.259841733935424","0.5","0.4","0.5","0.5","0.0","1.0"
錦華里,臺北市,大安區,63000030-021,"6.531229155319625","0.5","0.3","0.2","0.5","0.0","1.0"
龍圖里,臺北市,大安區,63000030-022,"5.786656236962743","0.5","0.5","0.1","0.5","0.0","1.0"
新龍里,臺北市,大安區,63000030-023,"4.389162183708288","0.5","0.4","0.2","0.5","0.0","1.0"
龍陣里,臺北市,大安區,63000030-026,"5.503025081573693","0.3","0.5","0.5","0.5","0.0","1.0"
龍雲里,臺北市,大安區,63000030-027,"6.602692086408715","0.4","0.5","0.1","0.5","0.0","1.0"
龍生里,臺北市,大安區,63000030-028,"4.667885780339706","0.5","0.4","0.1","0.5","0.0","0.0"
住安里,臺北市,大安區,63000030-029,"5.80923935926928","0.3","0.5","0.1","0.5","0.0","1.0"
義安里,臺北市,大安區,63000030-030,"5.906115212202355","0.4","0.5","0.1","0.5","0.0","0.0"
通化里,臺北市,大安區,63000030-031,"2.4394726607508854","0.4","0.4","0.1","0.5","0.0","0.0"
通安里,臺北市,大安區,63000030-032,"4.877024002517736","0.3","0.4","0.1","0.5","0.0","1.0"
臨江里,臺北市,大安區,63000030-033,"2.3625577694732813","0.2","0.4","0.2","0.4","0.0","1.0"
法治里,臺北市,大安區,63000030-034,"5.1663355663036565","0.4","0.5","0.1","0.5","0.0","1.0"
全安里,臺北市,大安區,63000030-035,"5.832697155716285","0.4","0.5","0.3","0.5","0.0","0.0"
群賢里,臺北市,大安區,63000030-036,"5.350637966559582","0.4","0.5","0.1","0.5","0.0","0.0"
正義里,臺北市,中山區,63000040-002,"4.040685034427094","0.2","0.3","0.2","0.4","0.0","0.0"
正得里,臺北市,中山區,63000040-003,"7.826917666710179","0.2","0.5","0.2","0.5","0.0","1.0"
民安里,臺北市,中山區,63000040-004,"8.078305659330175","0.3","0.5","0.2","0.5","1.0","1.0"
康樂里,臺北市,中山區,63000040-005,"7.759371803906093","0.1","0.5","0.4","0.4","0.0","1.0"
中山里,臺北市,中山區,63000040-006,"5.9738794241082","0.2","0.3","0.1","0.4","0.0","1.0"
聚盛里,臺北市,中山區,63000040-007,"6.135153673118673","0.1","0.4","0.2","0.3","0.0","1.0"
集英里,臺北市,中山區,63000040-008,"8.617977977302646","0.5","0.4","0.1","0.5","1.0","1.0"
聚葉里,臺北市,中山區,63000040-009,"4.825628514261872","0.2","0.4","0.2","0.4","0.0","1.0"
恆安里,臺北市,中山區,63000040-010,"5.685004410787507","0.3","0.3","0.5","0.5","0.0","1.0"
晴光里,臺北市,中山區,63000040-011,"5.400558461387485","0.3","0.4","0.1","0.5","0.0","1.0"
圓山里,臺北市,中山區,63000040-012,"7.976987256018143","0.4","0.4","0.2","0.4","0.0","0.0"
劍潭里,臺北市,中山區,63000040-013,"5.283330448462001","0.5","0.5","0.2","0.5","0.0","0.0"
大直里,臺北市,中山區,63000040-014,"4.5081011225277345","0.5","0.5","0.1","0.5","0.0","0.0"
成功里,臺北市,中山區,63000040-015,"8.799698308584173","0.5","0.2","0.1","0.5","0.0","1.0"
永安里,臺北市,中山區,63000040-016,"6.098153826390781","0.5","0.3","0.1","0.5","0.0","0.0"
大佳里,臺北市,中山區,63000040-017,"4.6740849727611025","0.5","0.4","0.3","0.3","0.0","0.0"
新喜里,臺北市,中山區,63000040-018,"1.9726315324911723","0.3","0.3","0.1","0.4","0.0","0.0"
新庄里,臺北市,中山區,63000040-019,"4.83560347957206","0.2","0.4","0.1","0.3","0.0","0.0"
