Region,County Name,Township Name,Village Name,c_Population,c_Sex Ratio,c_Population Density,c_Dependency Ratio,c_Child Dependency Ratio,c_Elderly Dependency Ratio,c_Aging Index,c_Population aged 0-14,c_Population aged 15-64,c_Population aged 65 and above,j_15 with Doctorate Degree,j_15 with Master Degree,j_15 with University Education,j_15 with Vocational Education,j_15 with Senior High School Education,j_15 with Junior High School Education,j_15 with Elementary School Education,j_15 with Self-Taught Education,j_15 who are Illiterate,c_15 who are Unmarried,c_15 who are Married,c_15 who are Divorced,c_Natural Increase,c_Social Increase,c_Total Number of Households,ji_Total Comprehensive Income,ji_Average Comprehensive Income,ji_Median Comprehensive Income,ji_Comprehensive Income Q1,ji_Comprehensive Income Q3,ji_Comprehensive Income std,ji_Total Amount of Various Types of Income,ji_Income from Wages and Salaries,Median Housing Price with parking space,Median Housing Price no parking space,NO2,PM2.5,water,105green,m105300,m105300s,m105500,m105500s,fire,police,primary,secondary,gym,area,multiHospital,Shelter
新北市三峽區安溪里,新北市,三峽區,安溪里,8082,98.62,23768.07,25.75,16.15,9.6,59.44,1038,6427,617,22,246,1715,776,2513,1124,587,12,49,3872,3175,693,17,-33,2804,1603497,782,571,346,974,1506.28,1603548,1355342,10675000.0,6200000.0,20.297569153394804,19.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,402568.0,2.0,1.0
新北市三峽區弘道里,新北市,三峽區,弘道里,1260,126.21,167.21,35.34,16.54,18.8,113.64,154,931,175,1,23,195,80,340,278,172,0,17,545,557,89,2,-26,433,186075,665,510,346,826,569.43,186075,155628,10675000.0,6200000.0,20.297569153394804,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6791592.0,0.0,0.0
新北市三峽區成福里,新北市,三峽區,成福里,1013,119.74,375.49,34.89,15.18,19.71,129.82,114,751,148,1,18,157,80,295,185,157,0,6,441,413,71,-7,-20,328,144821,661,521,336,823,586.98,144821,125548,10675000.0,6200000.0,20.297569153394804,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3516326.0,0.0,1.0
新北市三峽區插角里,新北市,三峽區,插角里,780,136.36,63.99,54.76,10.91,43.85,401.82,55,504,221,2,12,70,31,169,198,204,3,36,228,401,62,-12,10,375,101734,748,620,362,1004,605.55,101734,75610,10675000.0,6200000.0,20.297569153394804,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13750256.0,0.0,1.0
新北市三峽區有木里,新北市,三峽區,有木里,835,142.03,14.94,50.99,13.56,37.43,276.0,75,553,207,3,5,61,42,195,233,184,2,35,244,436,87,-5,12,375,94083,960,504,265,880,2202.46,94083,43328,10675000.0,6200000.0,20.297569153394804,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,53091504.0,0.0,1.0
新北市三峽區永?里,新北市,三峽區,永?里,8038,92.16,8888.16,35.02,19.62,15.4,78.51,1168,5953,917,34,336,1692,822,2323,997,603,7,56,3777,3230,650,-11,28,2789,1742357,841,582,352,1005,1021.62,1742360,1312462,10675000.0,6200000.0,20.297569153394804,17.45727636849132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
新北市三峽區添福里,新北市,三峽區,添福里,1240,116.78,351.31,31.63,14.54,17.09,117.52,137,942,161,1,22,158,78,362,282,172,1,27,520,523,113,0,-20,424,198313,668,508,338,824,588.32,198313,153928,10675000.0,6200000.0,20.297569153394804,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3529420.0,0.0,0.0
新北市三峽區溪北里,新北市,三峽區,溪北里,2574,112.2,1543.74,38.31,19.02,19.29,101.41,354,1861,359,1,55,367,218,781,434,319,10,35,1150,1043,226,-1,23,882,402780,687,511,331,793,962.47,402780,327636,10675000.0,6200000.0,20.297569153394804,18.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1434249.0,0.0,0.0
新北市三峽區溪南里,新北市,三峽區,溪南里,1669,121.06,648.2,37.03,16.91,20.11,118.93,206,1218,245,0,20,262,124,479,321,233,2,22,732,679,153,-3,-31,561,249421,717,509,322,805,750.01,249421,192231,10675000.0,6200000.0,20.297569153394804,18.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4428818.0,1.0,0.0
新北市三峽區溪東里,新北市,三峽區,溪東里,3257,107.85,1630.16,30.02,16.25,13.77,84.77,407,2505,345,5,63,540,284,958,594,357,6,43,1507,1279,289,13,-71,1030,549255,661,508,340,791,731.94,549255,466843,10675000.0,6200000.0,20.297569153394804,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2320378.0,0.0,1.0
新北市三峽區礁溪里,新北市,三峽區,礁溪里,6085,97.12,14015.54,28.54,18.04,10.5,58.2,854,4734,497,16,177,1155,642,1870,911,431,6,23,2776,2555,514,33,38,2231,1155399,735,551,349,922,674.54,1155399,958489,10675000.0,6200000.0,20.297569153394804,19.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,508161.0,2.0,0.0
新北市三峽區秀川里,新北市,三峽區,秀川里,696,93.87,16879.68,46.22,21.64,24.58,113.59,103,476,117,2,23,129,77,183,90,83,1,5,311,278,62,0,-4,277,116548,686,566,336,940,524.09,116548,100291,10675000.0,6200000.0,20.297569153394804,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,28440.0,2.0,0.0
新北市三峽區竹崙里,新北市,三峽區,竹崙里,2190,129.08,86.2,38.43,13.4,25.03,186.79,212,1582,396,2,28,293,129,570,509,384,4,59,820,1010,215,-1,3,921,369585,897,490,326,727,4509.74,364426,203872,10675000.0,6200000.0,20.297569153394804,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23083137.0,0.0,1.0
新北市三峽區金圳里,新北市,三峽區,金圳里,571,142.98,46.48,38.93,13.14,25.79,196.3,54,411,106,0,7,58,29,155,151,92,4,21,227,255,43,3,-2,230,62348,649,522,324,787,565.89,62348,47478,10675000.0,6200000.0,20.297569153394804,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10688732.0,0.0,0.0
新北市三峽區鳶山里,新北市,三峽區,鳶山里,10655,98.68,2570.34,32.52,19.9,12.62,63.44,1600,8040,1015,34,405,2112,1016,3034,1474,902,13,65,4902,4390,905,55,93,3855,2166118,793,577,358,983,768.64,2166118,1813123,10675000.0,6200000.0,20.297569153394804,20.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4859998.0,1.0,1.0
新北市三峽區龍埔里,新北市,三峽區,龍埔里,9890,97.68,4905.13,33.14,22.13,11.01,49.76,1644,7428,818,31,420,1983,966,2693,1306,762,9,76,4681,4014,820,44,183,3626,2126889,801,606,353,1018,710.05,2126890,1771026,10675000.0,6200000.0,20.297569153394804,19.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2026379.0,2.0,2.0
新北市三峽區龍學里,新北市,三峽區,龍學里,15463,86.14,14208.82,46.31,34.34,11.97,34.86,3629,10569,1265,189,1486,4245,1945,2742,761,433,9,24,7092,7136,871,162,570,6614,5682329,1203,878,454,1578,1330.66,5682779,4509047,10675000.0,6200000.0,20.297569153394804,19.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,403954.0,1.0,1.0
新北市三峽區龍恩里,新北市,三峽區,龍恩里,6282,92.52,18147.0,42.55,31.34,11.21,35.77,1381,4407,494,81,526,1526,746,1302,454,253,5,8,2903,2774,438,49,123,2574,2063318,1134,815,420,1551,1082.55,2063425,1684654,10675000.0,6200000.0,20.297569153394804,19.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1076828.0,1.0,0.0
新北市三芝區八賢里,新北市,三芝區,八賢里,362,115.48,298.51,43.65,9.92,33.73,340.0,25,252,85,1,4,47,31,99,72,62,0,21,124,176,23,-7,-10,150,55531,624,489,240,809,570.2,55531,43714,3200000.0,2270000.0,14.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1469637.0,0.0,1.0
新北市三芝區古庄里,新北市,三芝區,古庄里,1145,109.32,361.89,39.29,12.9,26.4,204.72,106,822,217,2,44,203,105,334,169,150,2,30,433,500,123,-9,-2,514,195395,651,459,302,827,613.84,195395,158191,3200000.0,2270000.0,15.0,17.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2981177.0,1.0,0.0
新北市三芝區圓山里,新北市,三芝區,圓山里,632,131.5,35.86,42.66,16.25,26.41,162.5,72,443,117,0,10,71,35,173,133,91,8,39,228,313,41,0,-1,214,102931,804,508,304,927,1749.91,102931,57080,3200000.0,2270000.0,14.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17367049.0,0.0,1.0
新北市三芝區埔坪里,新北市,三芝區,埔坪里,7380,100.11,2082.31,32.33,16.03,16.3,101.68,894,5577,909,12,150,1200,687,2126,1376,766,29,140,3205,3051,689,-1,-86,2891,1104671,622,482,302,766,564.39,1104671,937282,3200000.0,2270000.0,15.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3642273.0,1.0,3.0
新北市三芝區埔頭里,新北市,三芝區,埔頭里,5626,94.6,5703.65,28.74,15.13,13.62,90.02,661,4370,595,10,142,1130,522,1638,982,440,21,80,2547,2368,428,5,90,2180,888509,607,478,303,775,535.83,888540,762933,3200000.0,2270000.0,15.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1000192.0,1.0,2.0
新北市三芝區店子里,新北市,三芝區,店子里,692,129.9,108.93,42.39,11.11,31.28,281.48,54,486,152,2,12,100,51,191,117,133,2,30,235,337,47,-4,3,266,109406,706,549,360,858,630.75,109406,87133,3200000.0,2270000.0,12.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6258128.0,2.0,0.0
新北市三芝區後厝里,新北市,三芝區,後厝里,2266,102.86,339.11,35.04,7.93,27.12,342.11,133,1678,455,26,130,552,269,623,265,212,6,50,829,1017,257,-4,-15,1128,518884,798,534,319,913,1092.08,518965,375960,3200000.0,2270000.0,15.0,17.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6945025.0,0.0,0.0
新北市三芝區新庄里,新北市,三芝區,新庄里,979,113.29,264.12,42.09,13.79,28.3,205.26,95,689,195,2,20,140,89,275,173,132,7,46,382,437,76,-10,-9,367,119794,573,443,284,700,453.22,119794,96397,3200000.0,2270000.0,15.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3817769.0,1.0,0.0
新北市三芝區橫山里,新北市,三芝區,橫山里,550,142.29,83.43,47.45,8.85,38.61,436.36,33,373,144,1,2,62,41,131,124,92,20,44,197,251,56,-7,-6,229,65228,604,494,236,808,509.41,65228,55499,3200000.0,2270000.0,14.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6163891.0,0.0,1.0
新北市三芝區福德里,新北市,三芝區,福德里,898,104.56,307.55,38.58,13.43,25.15,187.36,87,648,163,8,53,222,58,213,141,79,6,31,369,408,60,-6,-15,356,199641,937,658,370,1090,1133.52,199773,150414,3200000.0,2270000.0,14.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3011751.0,1.0,0.0
新北市三芝區興華里,新北市,三芝區,興華里,1340,122.96,210.77,36.32,11.6,24.72,213.16,114,983,243,6,47,224,152,360,197,194,9,37,518,613,105,-10,-1,532,266302,790,529,333,863,1123.35,266302,179689,3200000.0,2270000.0,14.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6376696.0,2.0,1.0
新北市三芝區茂長里,新北市,三芝區,茂長里,703,113.68,264.7,34.16,12.02,22.14,184.13,63,524,116,2,26,160,76,208,78,67,2,21,274,327,64,1,0,303,117118,658,506,267,900,560.79,117118,93088,3200000.0,2270000.0,15.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3301764.0,1.0,0.0
新北市三芝區錫板里,新北市,三芝區,錫板里,796,141.21,149.24,46.86,10.89,35.98,330.51,59,542,195,1,14,116,56,196,155,148,8,43,277,413,38,-8,-6,301,135404,694,545,323,835,670.56,135404,101220,3200000.0,2270000.0,15.0,17.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5188906.0,1.0,0.0
新北市三重區三安里,新北市,三重區,三安里,2765,92.95,41801.47,34.81,13.21,21.6,163.47,271,2051,443,8,127,592,283,721,395,345,4,19,1225,1115,255,-20,-97,1213,600044,738,560,349,901,725.14,600044,470112,15000000.0,8800000.0,30.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,56155.0,2.0,0.0
新北市三重區三民里,新北市,三重區,三民里,3532,99.89,52248.52,34.04,18.75,15.29,81.58,494,2635,403,13,167,839,358,878,441,311,6,25,1609,1510,253,7,-40,1298,831778,858,605,379,1007,879.04,831904,648821,15000000.0,8800000.0,29.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,67275.0,1.0,0.0
新北市三重區中央里,新北市,三重區,中央里,1825,98.37,46063.76,34.69,14.39,20.3,141.03,195,1355,275,5,76,342,182,501,258,248,5,13,757,731,215,3,-13,806,318683,719,564,337,923,601.49,318683,265618,15000000.0,8800000.0,30.0,18.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,39730.0,2.0,0.0
新北市三重區中山里,新北市,三重區,中山里,2850,96.28,19241.16,31.94,13.61,18.33,134.69,294,2160,396,11,146,718,311,729,338,285,0,18,1278,1198,231,9,58,1192,801530,904,577,358,986,1140.48,801530,585133,15000000.0,8800000.0,30.0,18.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,150756.0,2.0,0.0
新北市三重區中正里,新北市,三重區,中正里,1433,103.55,61320.55,27.83,9.63,18.2,188.89,108,1121,204,5,72,295,142,410,208,181,1,11,616,608,120,-5,-14,576,305494,766,579,363,856,788.37,305494,236234,15000000.0,8800000.0,25.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21586.0,1.0,0.0
新北市三重區中民里,新北市,三重區,中民里,1337,101.36,50276.39,30.19,11.68,18.5,158.33,120,1027,190,3,36,275,116,350,231,184,7,15,614,493,126,-6,-10,538,240911,667,499,338,835,597.92,240911,204425,15000000.0,8800000.0,26.0,18.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20140.0,2.0,0.0
新北市三重區中興里,新北市,三重區,中興里,4006,101.41,4312.83,29.81,13.71,16.1,117.49,423,3086,497,9,180,949,402,1036,541,436,3,27,1799,1712,293,14,37,1534,1086779,805,543,336,972,854.95,1086507,741490,15000000.0,8800000.0,22.0,18.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,725508.0,2.0,1.0
新北市三重區二重里,新北市,三重區,二重里,1713,102.96,8750.87,29.09,13.34,15.75,118.08,177,1327,209,6,46,359,138,475,308,187,3,14,798,695,129,-8,-13,585,287800,642,520,336,788,503.53,287800,228600,15000000.0,8800000.0,22.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,202679.0,0.0,2.0
新北市三重區五常里,新北市,三重區,五常里,4447,98.26,7219.25,32.35,16.93,15.42,91.04,569,3360,518,7,120,915,427,1167,726,455,20,41,2091,1819,304,9,-44,1483,821724,701,533,357,855,578.89,821724,681458,15000000.0,8800000.0,31.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,381736.0,1.0,0.0
新北市三重區五福里,新北市,三重區,五福里,4027,92.31,23276.92,30.62,16.74,13.88,82.95,516,3083,428,11,227,889,393,1010,560,385,9,27,1759,1754,319,12,19,1628,1057313,932,641,381,1151,1027.47,1057313,866889,15000000.0,8800000.0,31.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,120044.0,0.0,0.0
新北市三重區五華里,新北市,三重區,五華里,5455,92.48,23105.69,30.16,17.82,12.34,69.21,747,4191,517,16,306,1203,566,1300,786,467,9,55,2458,2381,395,30,-14,2072,1487140,966,638,380,1156,1079.91,1487267,1203777,15000000.0,8800000.0,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,80310.0,0.0,0.0
新北市三重區五谷里,新北市,三重區,五谷里,1830,108.67,2625.19,30.16,10.88,19.27,177.12,153,1406,271,7,82,385,216,513,228,217,3,26,778,826,123,-6,-6,737,477550,778,593,362,915,709.26,477550,361618,15000000.0,8800000.0,23.0,18.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,380469.0,1.0,1.0
新北市三重區五順里,新北市,三重區,五順里,4177,100.34,48192.08,30.12,15.95,14.17,88.87,512,3210,455,6,118,790,384,1125,742,439,13,48,1932,1698,321,19,-9,1488,721404,699,535,347,886,564.38,721404,623831,15000000.0,8800000.0,31.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,43750.0,0.0,0.0
新北市三重區仁德里,新北市,三重區,仁德里,2086,105.72,43076.03,34.15,11.13,23.02,206.94,173,1555,358,1,82,386,182,574,359,315,0,14,899,836,235,-8,17,856,397077,709,522,322,850,752.6,397077,312395,15000000.0,8800000.0,26.0,18.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,51894.0,2.0,0.0
新北市三重區仁忠里,新北市,三重區,仁忠里,3346,97.87,61324.73,32.41,16.46,15.95,96.88,416,2527,403,6,93,545,316,861,661,414,7,27,1536,1337,294,5,-14,1260,530201,660,538,347,832,569.46,530327,447506,15000000.0,8800000.0,31.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,60642.0,0.0,0.0
新北市三重區仁義里,新北市,三重區,仁義里,1269,100.16,30479.9,35.72,14.76,20.96,142.03,138,935,196,2,50,235,121,371,184,152,1,15,580,491,125,1,38,473,230413,773,537,324,920,753.1,230413,187655,15000000.0,8800000.0,26.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,49832.0,2.0,0.0
新北市三重區仁華里,新北市,三重區,仁華里,4477,95.5,41978.04,28.61,15.23,13.39,87.92,530,3481,466,9,199,981,460,1144,672,432,12,38,1983,1997,306,32,-30,1695,969308,772,580,364,954,651.53,969308,795034,15000000.0,8800000.0,27.0,17.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,98115.0,0.0,0.0
新北市三重區介壽里,新北市,三重區,介壽里,1251,96.08,53112.0,35.24,15.24,20.0,131.21,141,925,185,7,40,271,118,325,188,152,1,8,565,502,107,0,-2,516,232209,685,513,342,842,568.59,232209,181849,15000000.0,8800000.0,30.0,18.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34152.0,1.0,0.0
新北市三重區信安里,新北市,三重區,信安里,2076,94.93,55149.7,32.65,15.53,17.12,110.29,243,1565,268,7,98,464,224,533,279,210,2,16,930,859,175,-5,-14,858,498703,818,612,381,1022,709.94,498703,423529,15000000.0,8800000.0,30.0,18.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,41524.0,2.0,0.0
新北市三重區光明里,新北市,三重區,光明里,7859,95.79,29374.39,32.17,18.68,13.49,72.19,1111,5946,802,38,428,1865,839,2066,883,575,11,43,3646,3256,626,30,25,3038,2308527,994,631,372,1139,1913.26,2308916,1672486,15000000.0,8800000.0,25.0,18.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,253600.0,1.0,2.0
新北市三重區光榮里,新北市,三重區,光榮里,1447,98.49,49713.13,29.08,9.37,19.71,210.48,105,1121,221,4,71,353,140,382,223,151,1,17,646,569,139,-5,-18,657,377547,850,579,347,1079,918.17,377547,288411,15000000.0,8800000.0,30.0,18.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,34169.0,2.0,0.0
新北市三重區光正里,新北市,三重區,光正里,2557,96.54,11899.28,24.37,11.24,13.13,116.88,231,2056,270,18,212,700,315,622,233,199,5,22,1108,1122,232,22,25,1297,966199,1125,722,418,1428,1176.34,966199,772667,15000000.0,8800000.0,26.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,73496.0,1.0,0.0
新北市三重區光田里,新北市,三重區,光田里,4662,96.21,55758.88,32.26,12.79,19.46,152.11,451,3525,686,25,242,1096,570,1191,545,506,6,30,1934,2076,399,22,14,1948,1267995,882,612,360,1033,1107.3,1268247,980513,15000000.0,8800000.0,25.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,83266.0,1.0,0.0
新北市三重區光華里,新北市,三重區,光華里,2040,98.64,47580.17,33.33,12.42,20.92,168.42,190,1530,320,9,92,479,209,561,267,219,0,14,883,869,169,-5,20,891,496923,839,613,375,1029,811.98,496923,389621,15000000.0,8800000.0,30.0,18.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,42052.0,1.0,0.0
新北市三重區光輝里,新北市,三重區,光輝里,1609,101.38,18924.29,30.39,11.83,18.56,156.85,146,1234,229,2,66,362,152,417,262,182,3,17,714,669,129,-3,1,632,365727,776,520,336,887,878.76,365727,291610,15000000.0,8800000.0,26.0,18.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,81419.0,2.0,1.0
新北市三重區光陽里,新北市,三重區,光陽里,6528,97.64,42451.08,26.83,11.72,15.12,129.02,603,5147,778,18,351,1603,787,1740,788,588,9,41,2882,2857,493,13,28,2587,1871843,887,599,364,1092,1002.77,1872077,1482895,15000000.0,8800000.0,25.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,152473.0,1.0,0.0
