Region,County Name,Township Name,Village Name,c_Population,c_Sex Ratio,c_Population Density,c_Dependency Ratio,c_Child Dependency Ratio,c_Elderly Dependency Ratio,c_Aging Index,c_Population aged 0-14,c_Population aged 15-64,c_Population aged 65 and above,j_15 with Doctorate Degree,j_15 with Master Degree,j_15 with University Education,j_15 with Vocational Education,j_15 with Senior High School Education,j_15 with Junior High School Education,j_15 with Elementary School Education,j_15 with Self-Taught Education,j_15 who are Illiterate,c_15 who are Unmarried,c_15 who are Married,c_15 who are Divorced,c_Natural Increase,c_Social Increase,c_Total Number of Households,ji_Total Comprehensive Income,ji_Average Comprehensive Income,ji_Median Comprehensive Income,ji_Comprehensive Income Q1,ji_Comprehensive Income Q3,ji_Comprehensive Income std,ji_Total Amount of Various Types of Income,ji_Income from Wages and Salaries,Median Housing Price with parking space,Median Housing Price no parking space,NO2,PM2.5,water,108green,m108300,m108300s,m108500,m108500s,fire,police,primary,secondary,gym,area,multiHospital,Shelter
臺北市大同區老師里,臺北市,大同區,老師里,6022,97.77,10704.08,42.13,16.33,25.8,157.95,692,4237,1093,22,368,1559,703,1508,559,572,13,26,1818.0,2673.0,435.0,2,-74,2360,1253943.0,675.0,432.0,203.0,833.0,813.58,1257686.0,939438.0,24695000.0,12870000.0,39.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,602551.0,2.0,60.0
臺北市大同區至聖里,臺北市,大同區,至聖里,8158,91.14,33605.21,44.67,15.91,28.76,180.82,897,5639,1622,69,661,2312,1021,1955,550,647,13,33,2465.0,3635.0,591.0,10,-126,3401,2182170.0,794.0,466.0,212.0,986.0,1219.56,2283479.0,1523037.0,24695000.0,12870000.0,39.0,25.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,230758.0,2.0,82.0
臺北市大同區蓬萊里,臺北市,大同區,蓬萊里,5041,92.4,30485.37,42.44,16.93,25.52,150.75,599,3539,903,48,400,1446,613,1148,398,365,6,18,1533.0,2259.0,340.0,8,-86,2100,1684631.0,958.0,473.0,207.0,1064.0,2055.94,1734520.0,1079364.0,24695000.0,12870000.0,51.0,25.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,154984.0,3.0,65.0
臺北市大同區鄰江里,臺北市,大同區,鄰江里,6581,98.46,28612.55,42.6,15.3,27.3,178.47,706,4615,1260,45,414,1715,720,1573,680,685,9,34,2021.0,2945.0,477.0,-26,-54,2628,1423122.0,692.0,420.0,201.0,868.0,894.51,1562004.0,1006986.0,24695000.0,12870000.0,39.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,231454.0,3.0,48.0
臺北市大同區重慶里,臺北市,大同區,重慶里,6674,90.69,16293.87,43.1,18.2,24.89,136.75,849,4664,1161,79,595,1927,804,1421,466,502,10,21,1972.0,3079.0,397.0,13,-119,2542,1917329.0,878.0,513.0,231.0,1105.0,1375.66,1974599.0,1358981.0,24695000.0,12870000.0,39.0,18.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,430582.0,2.0,46.0
臺北市大同區隆和里,臺北市,大同區,隆和里,3204,94.06,26320.98,50.28,21.81,28.47,130.54,465,2132,607,22,208,836,364,800,225,266,3,15,936.0,1392.0,201.0,-10,-54,1247,782945.0,781.0,465.0,208.0,976.0,954.52,811911.0,518247.0,24695000.0,12870000.0,51.0,25.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,120246.0,3.0,38.0
臺北市大同區雙連里,臺北市,大同區,雙連里,9791,92.4,46456.57,46.92,23.33,23.59,101.09,1555,6664,1572,76,653,2532,1191,2277,722,724,23,38,2756.0,4151.0,733.0,0,-128,3829,2457671.0,829.0,527.0,235.0,1034.0,1063.11,2474637.0,1736074.0,24695000.0,12870000.0,51.0,25.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,210290.0,4.0,93.0
臺北市大安區仁愛里,臺北市,大安區,仁愛里,5388,81.05,25521.88,66.6,24.34,42.27,173.7,787,3234,1367,118,690,2105,527,785,226,129,14,7,1496.0,2460.0,312.0,2,-51,2175,4053692.0,1968.0,865.0,335.0,2072.0,5275.59,5955358.0,1957343.0,45800000.0,22120000.0,24.0,25.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,211185.0,6.0,59.0
臺北市大安區仁慈里,臺北市,大安區,仁慈里,5851,89.05,48411.79,61.63,33.45,28.18,84.23,1211,3620,1020,143,866,2048,554,721,172,124,9,3,1395.0,2695.0,254.0,11,15,2055,3097274.0,1582.0,824.0,323.0,1893.0,2612.12,3291579.0,1893990.0,45800000.0,22120000.0,24.0,25.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,122056.0,5.0,50.0
臺北市大安區住安里,臺北市,大安區,住安里,5239,87.98,38627.15,50.11,16.76,33.35,198.97,585,3490,1164,71,593,1739,594,1030,275,327,5,20,1570.0,2240.0,422.0,-3,-83,2301,2171141.0,1208.0,594.0,276.0,1254.0,2789.55,2930823.0,1429185.0,45800000.0,22120000.0,24.0,27.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,134690.0,6.0,50.0
臺北市大安區光信里,臺北市,大安區,光信里,7944,85.26,58346.55,57.15,24.06,33.1,137.58,1216,5055,1673,155,1018,2873,800,1282,306,279,4,11,2100.0,3705.0,472.0,16,-122,3059,3711453.0,1374.0,682.0,290.0,1506.0,2770.52,4037512.0,2336699.0,45800000.0,22120000.0,24.0,26.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,136075.0,6.0,107.0
臺北市大安區光明里,臺北市,大安區,光明里,4049,92.9,31787.28,58.78,35.73,23.06,64.54,911,2550,588,81,613,1312,373,546,92,109,5,7,876.0,1908.0,177.0,9,52,1454,2047327.0,1557.0,915.0,359.0,1924.0,2344.11,4054905.0,1438126.0,45800000.0,22120000.0,26.0,30.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,126547.0,4.0,61.0
臺北市大安區光武里,臺北市,大安區,光武里,7598,82.08,39302.91,58.0,21.06,36.93,175.32,1013,4809,1776,119,973,2776,818,1301,328,252,8,10,2081.0,3523.0,522.0,-7,-132,3269,3086489.0,1154.0,645.0,262.0,1382.0,2260.03,3773872.0,1770452.0,45800000.0,22120000.0,27.0,25.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200559.0,6.0,61.0
臺北市大安區全安里,臺北市,大安區,全安里,4439,84.19,33657.86,56.69,18.18,38.51,211.84,515,2833,1091,78,672,1738,501,647,159,125,0,4,1241.0,2163.0,245.0,-4,-40,1833,2877674.0,1748.0,724.0,305.0,1816.0,5436.79,3106622.0,1760509.0,45800000.0,22120000.0,23.0,27.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,131307.0,5.0,35.0
臺北市大安區古莊里,臺北市,大安區,古莊里,7632,84.84,34171.2,53.01,23.54,29.47,125.21,1174,4988,1470,235,1250,2735,683,1071,255,206,11,12,2032.0,3639.0,384.0,10,127,3253,3404894.0,1251.0,705.0,292.0,1538.0,1812.59,3659318.0,2203306.0,45800000.0,22120000.0,19.0,32.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,221732.0,3.0,131.0
臺北市大安區古風里,臺北市,大安區,古風里,4335,88.15,40700.4,55.21,21.98,33.23,151.14,614,2793,928,156,700,1551,448,579,139,132,7,9,1158.0,2095.0,211.0,0,25,1814,1993994.0,1277.0,731.0,311.0,1610.0,1710.88,2231479.0,1328563.0,45800000.0,22120000.0,18.0,32.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,106656.0,1.0,65.0
臺北市大安區和安里,臺北市,大安區,和安里,7296,93.68,24485.52,56.16,28.79,27.38,95.09,1345,4672,1279,158,1085,2544,692,1057,232,170,2,11,1841.0,3401.0,307.0,5,-152,2543,3971113.0,1648.0,811.0,299.0,1869.0,3953.58,8416304.0,2635226.0,45800000.0,22120000.0,24.0,25.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,298072.0,4.0,58.0
臺北市大安區大學里,臺北市,大安區,大學里,8902,86.12,45926.61,56.48,23.29,33.19,142.49,1325,5689,1888,400,1490,3127,819,1246,249,220,15,11,2388.0,4256.0,410.0,-1,63,3593,4165312.0,1308.0,705.0,295.0,1583.0,2323.68,4236504.0,2678376.0,45800000.0,22120000.0,18.0,32.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,190848.0,2.0,98.0
臺北市大安區學府里,臺北市,大安區,學府里,2729,97.32,1191.62,61.0,22.3,38.7,173.54,378,1695,656,228,239,580,243,596,218,231,5,11,710.0,1118.0,245.0,-21,-31,1042,758848.0,1069.0,594.0,269.0,1314.0,1802.9,787756.0,594390.0,45800000.0,22120000.0,24.0,32.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2269285.0,2.0,119.0
臺北市大安區建倫里,臺北市,大安區,建倫里,6442,79.14,38483.37,63.59,24.99,38.6,154.47,984,3938,1520,121,871,2409,690,991,220,147,4,5,1668.0,3061.0,351.0,13,-19,2478,3781505.0,1627.0,799.0,298.0,1823.0,3333.81,5460911.0,1965394.0,45800000.0,22120000.0,24.0,26.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,167034.0,6.0,59.0
臺北市大安區建安里,臺北市,大安區,建安里,5059,78.32,35343.02,57.55,22.14,35.41,159.92,711,3211,1137,92,694,1917,567,763,170,138,2,5,1409.0,2327.0,318.0,-2,-103,2129,2664934.0,1419.0,723.0,262.0,1626.0,2705.49,3114570.0,1405302.0,45800000.0,22120000.0,27.0,27.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,149733.0,6.0,38.0
臺北市大安區德安里,臺北市,大安區,德安里,5917,86.66,40624.51,59.88,23.51,36.37,154.71,870,3701,1346,136,837,2210,648,892,190,123,1,10,1566.0,2778.0,348.0,-10,-1,2372,3111279.0,1487.0,739.0,312.0,1648.0,2631.21,3659729.0,1897139.0,45800000.0,22120000.0,24.0,25.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,146283.0,6.0,65.0
