index,County Name,Township Name,Village Name,QoL,Child Dependency Ratio,Elderly Dependency Ratio,Social Increase,Average Income,Metro 300 Multi,Metro 500 Multi,V_ID
新北市三重區永春里,新北市,三重區,永春里,1.8862820699851863,0.4,0.2,0.3,0.2,0.0,0.0,65000020-025
新北市三重區永清里,新北市,三重區,永清里,1.5659700215718075,0.5,0.2,0.2,0.2,0.0,1.0,65000020-090
新北市三重區永煇里,新北市,三重區,永煇里,0.6463834622611286,0.1,0.2,0.2,0.1,0.0,0.0,65000020-092
新北市三重區永發里,新北市,三重區,永發里,-0.5009010801094014,0.4,0.1,0.3,0.3,0.0,0.0,65000020-113
新北市三重區永盛里,新北市,三重區,永盛里,2.5960689409930002,0.5,0.3,0.2,0.2,0.0,1.0,65000020-088
新北市三重區永福里,新北市,三重區,永福里,1.717337737372234,0.4,0.2,0.1,0.2,0.0,1.0,65000020-089
新北市三重區永興里,新北市,三重區,永興里,3.0618375843119234,0.2,0.3,0.5,0.3,0.0,0.0,65000020-040
新北市三重區永豐里,新北市,三重區,永豐里,-0.3491030622015866,0.5,0.1,0.2,0.2,0.0,0.0,65000020-115
新北市三重區永順里,新北市,三重區,永順里,-0.5873502598371021,0.4,0.1,0.2,0.1,0.0,0.0,65000020-114
新北市三重區清和里,新北市,三重區,清和里,2.588480411538656,0.1,0.2,0.5,0.3,0.0,0.0,65000020-039
新北市三重區溪美里,新北市,三重區,溪美里,0.13227497738559088,0.3,0.1,0.5,0.3,0.0,0.0,65000020-093
新北市三重區瑞德里,新北市,三重區,瑞德里,2.0837155179906715,0.3,0.3,0.3,0.1,0.0,0.0,65000020-081
新北市三重區田中里,新北市,三重區,田中里,-1.3031677792786798,0.5,0.2,0.2,0.3,0.0,0.0,65000020-017
新北市三重區田安里,新北市,三重區,田安里,-1.2441467480806423,0.2,0.2,0.2,0.2,0.0,0.0,65000020-018
新北市三重區田心里,新北市,三重區,田心里,0.3237935764162648,0.1,0.3,0.4,0.2,0.0,0.0,65000020-015
新北市三重區碧華里,新北市,三重區,碧華里,1.989125533437723,0.4,0.1,0.5,0.5,0.0,0.0,65000020-108
新北市三重區福利里,新北市,三重區,福利里,3.079878326434773,0.1,0.1,0.2,0.3,0.0,0.0,65000020-038
新北市三重區福安里,新北市,三重區,福安里,2.1124771733142143,0.2,0.2,0.3,0.2,0.0,0.0,65000020-073
新北市三重區福德里,新北市,三重區,福德里,1.8133388794251162,0.3,0.2,0.4,0.3,0.0,0.0,65000020-111
新北市三重區福星里,新北市,三重區,福星里,2.026070664665681,0.1,0.2,0.5,0.3,0.0,0.0,65000020-037
新北市三重區福樂里,新北市,三重區,福樂里,2.0364266805559423,0.4,0.3,0.3,0.2,0.0,1.0,65000020-117
新北市三重區福民里,新北市,三重區,福民里,-0.3765801397378043,0.4,0.2,0.2,0.2,0.0,0.0,65000020-009
新北市三重區福田里,新北市,三重區,福田里,-0.6185286055044537,0.1,0.2,0.3,0.2,0.0,0.0,65000020-016
新北市三重區福祉里,新北市,三重區,福祉里,1.753177972094471,0.4,0.2,0.3,0.3,0.0,0.0,65000020-008
新北市三重區福隆里,新北市,三重區,福隆里,1.7480381865248014,0.5,0.1,0.3,0.3,0.0,0.0,65000020-094
新北市三重區秀江里,新北市,三重區,秀江里,2.789704391905533,0.2,0.3,0.3,0.1,0.0,0.0,65000020-070
新北市三重區立德里,新北市,三重區,立德里,-0.36186452782432454,0.2,0.2,0.2,0.2,0.0,0.0,65000020-116
新北市三重區維德里,新北市,三重區,維德里,0.9059670174919612,0.4,0.2,0.5,0.2,0.0,0.0,65000020-084
新北市三重區自強里,新北市,三重區,自強里,2.3567800241370023,0.2,0.3,0.4,0.1,0.0,0.0,65000020-050
新北市三重區菜寮里,新北市,三重區,菜寮里,2.292900519258649,0.4,0.2,0.4,0.2,0.0,0.0,65000020-024
新北市三重區萬壽里,新北市,三重區,萬壽里,1.5148134621219305,0.1,0.2,0.4,0.2,0.0,0.0,65000020-066
新北市三重區谷王里,新北市,三重區,谷王里,1.7626952697823624,0.1,0.4,0.5,0.2,0.0,0.0,65000020-004
新北市三重區過田里,新北市,三重區,過田里,-1.7981873579138574,0.1,0.2,0.5,0.3,0.0,0.0,65000020-010
新北市三重區重新里,新北市,三重區,重新里,2.74522199104749,0.2,0.5,0.5,0.2,0.0,1.0,65000020-046
新北市三重區重明里,新北市,三重區,重明里,3.2853909333939164,0.5,0.2,0.5,0.4,0.0,0.0,65000020-012
新北市三重區重陽里,新北市,三重區,重陽里,1.6958665280663154,0.2,0.2,0.4,0.2,0.0,0.0,65000020-044
新北市三重區錦安里,新北市,三重區,錦安里,3.241428982597989,0.1,0.4,0.3,0.1,0.0,1.0,65000020-055
新北市三重區錦江里,新北市,三重區,錦江里,0.1516730500695313,0.1,0.2,0.3,0.1,0.0,0.0,65000020-067
新北市三重區錦田里,新北市,三重區,錦田里,0.15473915975747837,0.3,0.3,0.5,0.3,0.0,0.0,65000020-011
新北市三重區錦通里,新北市,三重區,錦通里,1.5109255713325407,0.1,0.5,0.4,0.1,0.0,0.0,65000020-054
新北市三重區長元里,新北市,三重區,長元里,1.9724895191864997,0.1,0.2,0.3,0.1,0.0,1.0,65000020-061
新北市三重區長安里,新北市,三重區,長安里,3.2494067095617036,0.2,0.3,0.2,0.2,0.0,1.0,65000020-056
新北市三重區長江里,新北市,三重區,長江里,1.5518258110794072,0.1,0.3,0.3,0.3,0.0,0.0,65000020-062
新北市三重區長泰里,新北市,三重區,長泰里,3.0185587222710297,0.1,0.4,0.3,0.1,0.0,1.0,65000020-063
新北市三重區長生里,新北市,三重區,長生里,3.843294296721741,0.1,0.3,0.4,0.2,0.0,1.0,65000020-058
