Region,County Name,Township Name,Village Name,c_Population,c_Sex Ratio,c_Population Density,c_Dependency Ratio,c_Child Dependency Ratio,c_Elderly Dependency Ratio,c_Aging Index,c_Population aged 0-14,c_Population aged 15-64,c_Population aged 65 and above,j_15 with Doctorate Degree,j_15 with Master Degree,j_15 with University Education,j_15 with Vocational Education,j_15 with Senior High School Education,j_15 with Junior High School Education,j_15 with Elementary School Education,j_15 with Self-Taught Education,j_15 who are Illiterate,c_15 who are Unmarried,c_15 who are Married,c_15 who are Divorced,c_Natural Increase,c_Social Increase,c_Total Number of Households,ji_Total Comprehensive Income,ji_Average Comprehensive Income,ji_Median Comprehensive Income,ji_Comprehensive Income Q1,ji_Comprehensive Income Q3,ji_Comprehensive Income std,ji_Total Amount of Various Types of Income,ji_Income from Wages and Salaries,Median Housing Price with parking space,Median Housing Price no parking space,NO2,PM2.5,water,109green,m109300,m109300s,m109500,m109500s,fire,police,primary,secondary,gym,area,multiHospital,Shelter
新北市蘆洲區恆德里,新北市,蘆洲區,恆德里,6442,91.5,36697.98,33.07,14.05,19.02,135.44,680,4841,921,28,339,1622,696,1675,792,561,11,38,2072,2694,567,5,-55,2609,1301195.0,701.0,425.0,200.0,849.0,885.33,1306790.0,1017041.0,16500000.0,9800000.0,22.0,106.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,172639.0,0.0,1.0
新北市蘆洲區成功里,新北市,蘆洲區,成功里,8033,93.05,55986.12,28.2,16.88,11.32,67.01,1058,6266,709,18,351,2019,760,2228,1122,444,6,27,2655,3306,645,33,-33,2646,1295901.0,579.0,382.0,198.0,715.0,666.69,1295902.0,1003082.0,16500000.0,9800000.0,20.0,93.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,143293.0,1.0,1.0
新北市蘆洲區樓厝里,新北市,蘆洲區,樓厝里,6821,94.0,30656.59,31.02,15.04,15.98,106.26,783,5206,832,20,367,1783,709,1779,784,567,7,22,2230,2901,553,11,160,2618,1429619.0,667.0,436.0,216.0,846.0,741.13,1429619.0,1111161.0,16500000.0,9800000.0,22.0,86.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,240083.0,0.0,1.0
新北市蘆洲區樹德里,新北市,蘆洲區,樹德里,3355,101.62,58331.59,34.31,13.25,21.06,158.91,331,2498,526,6,142,790,320,953,490,303,2,18,1089,1432,276,-3,-81,1265,558907.0,586.0,387.0,198.0,707.0,756.97,566749.0,424503.0,16500000.0,9800000.0,20.0,118.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,58067.0,0.0,0.0
新北市蘆洲區正義里,新北市,蘆洲區,正義里,15338,91.51,21159.66,40.39,30.04,10.35,34.46,3282,10925,1131,62,1146,4142,1734,3240,1034,650,9,39,3802,6805,848,69,259,5672,4653634.0,1005.0,640.0,271.0,1300.0,1309.6,4714659.0,3354908.0,16500000.0,9800000.0,21.0,94.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,662224.0,1.0,3.0
新北市蘆洲區民和里,新北市,蘆洲區,民和里,2778,98.0,20531.39,36.04,12.93,23.11,178.79,264,2042,472,3,92,609,249,773,427,328,14,19,895,1197,224,-2,-17,1052,413575.0,554.0,385.0,186.0,721.0,591.45,413575.0,328534.0,16500000.0,9800000.0,17.0,118.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,134685.0,0.0,1.0
新北市蘆洲區水河里,新北市,蘆洲區,水河里,9920,96.55,11666.05,27.65,14.89,12.77,85.74,1157,7771,992,27,354,2454,1014,2765,1337,765,11,36,3176,4244,838,32,29,3495,1594441.0,565.0,375.0,192.0,726.0,624.94,1594548.0,1282710.0,16500000.0,9800000.0,21.0,94.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,638167.0,1.0,0.0
新北市蘆洲區水湳里,新北市,蘆洲區,水湳里,10915,96.49,43335.68,29.46,16.1,13.37,83.05,1357,8431,1127,37,544,2832,1086,2856,1389,760,12,42,3532,4726,746,19,-17,3898,2209298.0,672.0,419.0,204.0,861.0,769.51,2248553.0,1735619.0,16500000.0,9800000.0,21.0,94.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,251940.0,1.0,3.0
新北市蘆洲區永安里,新北市,蘆洲區,永安里,5503,92.01,59953.37,32.51,17.07,15.43,90.41,709,4153,641,11,187,1314,544,1510,804,389,7,28,1684,2405,451,28,7,1899,866051.0,562.0,385.0,200.0,725.0,594.72,866051.0,670108.0,16500000.0,9800000.0,20.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,95950.0,0.0,0.0
新北市蘆洲區永康里,新北市,蘆洲區,永康里,7186,92.14,74148.21,28.44,16.84,11.6,68.9,942,5595,649,20,277,1783,737,2021,955,410,9,32,2267,3021,588,17,-24,2484,1141946.0,563.0,378.0,182.0,729.0,589.73,1141946.0,908592.0,16500000.0,9800000.0,20.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,96609.0,1.0,0.0
新北市蘆洲區永德里,新北市,蘆洲區,永德里,4661,96.01,61103.03,25.87,13.61,12.26,90.08,504,3703,454,13,174,1247,416,1327,657,302,1,20,1618,1943,380,16,-86,1586,734950.0,547.0,385.0,186.0,686.0,771.42,734967.0,560700.0,16500000.0,9800000.0,20.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,76980.0,1.0,0.0
新北市蘆洲區永樂里,新北市,蘆洲區,永樂里,6658,98.63,51888.34,32.0,19.77,12.23,61.89,997,5044,617,11,266,1702,661,1729,885,382,4,21,2104,2703,519,-2,-33,2238,1147578.0,613.0,386.0,193.0,756.0,730.0,1177476.0,914521.0,16500000.0,9800000.0,20.0,93.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,132140.0,1.0,1.0
