V_ID,QoL_PR
65000110-048,62.37
65000110-041,46.84
65000110-025,43.35
65000110-040,77.62
65000110-042,38.51
65000110-036,73.45
65000110-047,41.4
65000110-008,66.6
65000110-030,55.98
65000110-037,41.33
65000110-015,3.76
65000110-032,64.11
65000110-007,44.96
65000110-003,63.44
65000110-039,57.86
65000110-023,34.34
65000110-018,75.13
65000110-005,51.08
65000110-022,81.25
65000110-014,61.22
65000110-027,72.98
65000110-043,7.66
65000110-049,77.15
65000110-016,11.76
65000110-038,70.3
65000110-021,53.7
65000110-045,65.99
65000110-024,54.3
65000110-034,73.66
65000110-002,73.19
65000110-046,68.55
65000110-006,38.1
65000110-001,69.76
65000110-031,57.46
65000110-035,73.72
65000110-009,12.16
65000110-013,24.87
65000110-033,20.3
65000110-010,30.98
65000110-044,21.84
65000160-017,52.69
65000160-006,54.97
65000160-011,38.17
65000160-001,65.66
65000160-003,40.93
65000160-014,17.74
65000160-008,25.34
65000160-005,96.24
65000160-013,50.47
65000160-004,81.79
65000160-016,86.36
65000160-012,82.8
65000160-007,56.12
65000160-010,92.27
65000160-009,63.31
65000160-015,45.36
65000160-002,38.31
65000100-001,6.12
65000100-023,86.22
65000100-020,98.19
65000100-012,97.18
65000100-038,98.32
65000100-027,61.49
65000100-016,57.19
65000100-009,75.2
65000100-042,81.32
65000100-041,77.69
65000100-002,26.55
65000100-008,82.86
65000100-040,78.97
65000100-014,27.15
65000100-007,6.45
65000100-031,79.23
65000100-035,62.03
65000100-036,48.79
65000100-030,84.07
65000100-034,36.29
65000100-010,55.24
65000100-015,29.91
65000100-037,90.79
65000100-029,70.16
65000100-039,54.7
65000100-019,68.88
65000100-013,18.28
65000100-011,53.23
65000100-028,64.72
65000100-033,93.08
65000100-032,92.07
65000100-025,61.02
65000100-017,79.84
65000100-018,40.32
65000100-021,87.37
65000100-006,31.85
65000100-004,48.19
65000100-026,91.73
65000100-005,5.91
65000100-003,46.03
65000100-022,73.32
65000100-024,64.05
65000180-003,58.67
65000180-006,50.27
65000180-004,65.05
65000180-001,61.69
65000180-007,8.87
65000180-002,10.35
65000180-008,30.24
65000180-005,56.72
65000290-004,49.13
65000290-005,29.23
65000290-002,47.78
65000290-001,63.24
65000290-003,49.33
65000120-027,22.92
65000120-028,41.67
65000120-010,21.64
65000120-013,40.73
65000120-015,9.95
65000120-032,27.35
65000120-012,75.6
65000120-011,76.48
65000120-018,62.63
65000120-020,73.99
65000120-016,47.11
65000120-023,37.16
65000120-034,69.22
65000120-009,71.71
65000120-008,26.95
65000120-019,26.81
65000120-029,60.89
65000120-031,60.01
65000120-007,0.13
65000120-014,17
65000120-030,58.87
65000120-024,79.7
65000120-026,77.55
65000120-017,10.01
65000120-021,82.66
65000120-025,76.41
65000120-022,75.67
65000120-033,14.92
65000120-006,60.48
65000120-005,53.29
65000120-004,46.57
65000120-001,44.35
65000120-002,67.14
65000120-003,69.09
65000190-008,8.67
65000190-009,10.89
65000190-005,10.69
65000190-012,20.97
65000190-011,8.94
65000190-007,24.4
65000190-002,23.12
65000190-004,22.31
65000190-001,28.16
65000190-010,49.93
65000190-006,11.09
65000190-003,46.17
65000220-007,42.54
65000220-002,31.59
65000220-006,83.94
65000220-004,72.92
65000220-001,35.22
65000220-005,85.35
65000220-003,28.23
65000220-008,42.81
65000220-009,18.95
65000280-009,31.79
65000280-010,33.53
65000280-004,11.29
65000280-008,3.49
65000280-007,30.78
65000280-005,42.34
65000280-001,43.48
65000280-003,9.34
65000280-006,23.19
65000280-002,29.84
65000140-002,64.58
65000140-025,26.34
65000140-003,13.64
65000140-024,0.67
65000140-013,85.01
65000140-027,54.57
65000140-022,37.03
65000140-028,11.36
65000140-005,67.67
65000140-012,76.75
65000140-030,86.69
65000140-018,7.19
65000140-029,19.76
65000140-004,16.67
65000140-015,63.84
65000140-036,3.36
65000140-026,16.73
65000140-014,44.22
65000140-020,15.32
65000140-033,19.49
65000140-023,6.05
65000140-009,50.87
65000140-037,35.08
65000140-007,22.24
65000140-011,44.09
65000140-001,84.81
65000140-032,10.55
65000140-021,11.02
65000140-006,22.72
65000140-035,0.74
65000140-017,1.81
65000140-038,4.91
65000140-016,42.61
65000140-010,78.56
65000140-019,8.53
65000140-034,50.13
65000140-031,2.55
65000140-008,22.04
65000260-007,25.87
65000260-002,21.51
65000260-011,26.14
65000260-008,39.78
65000260-009,18.41
65000260-006,61.42
65000260-010,33.94
65000260-001,56.85
65000260-003,70.56
65000260-004,61.63
65000260-005,74.87
65000270-010,15.79
65000270-006,50.54
65000270-008,14.25
65000270-009,56.45
65000270-001,62.9
65000270-002,73.92
65000270-014,11.69
65000270-011,35.48
65000270-004,72.04
65000270-005,41.13
65000270-012,35.55
65000270-013,9.14
65000270-003,18.21
65000270-007,22.38
65000270-015,28.09
65000250-005,8.74
65000250-007,42.88
65000250-009,31.32
65000250-002,78.09
65000250-010,37.63
65000250-008,72.24
65000250-003,75.81
65000250-012,12.7
65000250-006,53.43
65000250-011,36.76
65000250-001,78.49
65000250-004,56.99
65000080-018,22.85
65000080-005,76.55
65000080-011,25.07
65000080-012,57.73
65000080-004,50.81
65000080-009,61.56
65000080-003,29.57
65000080-007,75.27
65000080-014,33.06
65000080-010,45.56
65000080-020,51.14
65000080-006,23.59
65000080-013,46.91
65000080-001,77.82
65000080-017,30.38
65000080-008,32.39
65000080-002,49.87
65000080-019,54.77
65000080-016,35.95
65000080-015,60.35
63000040-027,50.6
63000040-031,90.46
63000040-030,92.54
63000040-033,97.51
63000040-006,91.8
63000040-023,80.58
63000040-013,86.29
63000040-039,83.4
63000040-042,81.59
63000040-012,98.79
63000040-037,61.9
