VILLCODE,COUNTYNAME,TOWNNAME,VILLNAME,COUNTYCODE,TOWNCODE,105green,105water,108green,109green,110green,107green,106green,m109300,m109300s,m109500,m109500s,m108300,m108300s,m108500,m108500s,m107300,m107300s,m107500,m107500s,m106300,m106300s,m106500,m106500s,m105300,m105300s,m105500,m105500s,fire,police,primary,secondary,gym,area
"63000010011",臺北市,松山區,東光里,"63000","63000010","0","0","1","0","1","1","0","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1","1","1","1",,"187425"
"63000100030",臺北市,內湖區,湖元里,"63000","63000100","1","1","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,"1","1","1","1",,"2306329"
"63000100024",臺北市,內湖區,樂康里,"63000","63000100","1","0","1","1","1","1","0",,,,,,,,,,,,,,,,,,,,,,"1",,"1",,"171132"
"63000060026",臺北市,大同區,保安里,"63000","63000060","1","0","1","1","1","1","0","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,,"1","1","1",,"179609"
"63000100023",臺北市,內湖區,東湖里,"63000","63000100","1","0","1","1","1","1","0",,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,"1","1","1",,"154594"
"63000080027",臺北市,文山區,木柵里,"63000","63000080","1","0","1","1","1","1","1",,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,"1","1","1","1","1","560900"
"63000080002",臺北市,文山區,景東里,"63000","63000080","1","0","1","1","1","1","1",,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,"1","1","1","1",,"266349"
"63000080015",臺北市,文山區,興家里,"63000","63000080","1","0","1","1","1","1","1",,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,"1","1","1",,"1","159113"
"63000080040",臺北市,文山區,政大里,"63000","63000080","1","0","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,,"1","1","1",,"2789073"
"63000080004",臺北市,文山區,景慶里,"63000","63000080","1","1","1","1","1","1","1","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1","1","1","1",,"369983"
"63000080006",臺北市,文山區,景華里,"63000","63000080","1","0","1","1","1","1","1","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1","1","1","1",,"177539"
"63000080019",臺北市,文山區,興福里,"63000","63000080","0","0","0","0","0","0","0",,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,"1","1","1","1",,"115614"
