,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,人口數,性比例,人口密度,扶養比,扶幼比,扶老比,老化指數,0-14歲人口數,15-64歲人口數,65歲以上人口數,15歲以上博士人口數,15歲以上碩士人口數,15歲以上大學院校人口數,15歲以上專科人口數,15歲以上高中職人口數,15歲以上國中初職人口數,15歲以上小學人口數,15歲以上自修人口數,15歲以上不識字人口數,15歲以上未婚人口數,15歲以上有偶人口數,15歲以上離婚人口數,自然增加人數,社會增加人數,總戶數,綜合所得總額,綜合所得平均數,綜合所得中位數,綜合所得第一分位數,綜合所得第三分位數,綜合所得標準差,各類所得金額合計,各類所得金額薪資所得,106green,m106300,m106300s,m106500,m106500s,fire,police,primary,secondary,gym,area,名稱,multiHospital,1
新北市三重區永吉里,新北市,65000020,三重區,65000020-112,永吉里,3174,92.48,42931.34,35.06,18.98,16.09,84.75,446,2350,378,4,135,654,316,830,459,305,3,22,1476,1284,262,15,-76,1209,1683026.0,847.0,599.0,349.0,1056.0,856.4,708011.0,587993.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,82742.0,0.0,0.0,0.0
新北市三重區永安里,新北市,65000020,三重區,65000020-091,永安里,4451,95.56,67905.47,35.78,21.2,14.58,68.78,695,3278,478,9,180,886,446,1167,635,400,9,24,2102,1790,361,-2,-30,1561,734156.0,945.0,656.0,372.0,1249.0,1125.11,889466.0,776265.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,73208.0,0.0,0.0,0.0
新北市三重區永德里,新北市,65000020,三重區,65000020-087,永德里,5306,96.08,42879.54,36.58,18.56,18.02,97.09,721,3885,700,8,176,1053,483,1410,829,575,10,41,2468,2123,418,-12,-56,1916,255645.0,822.0,543.0,351.0,929.0,988.48,953486.0,809183.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,129681.0,1.0,0.0,1.0
新北市三重區永春里,新北市,65000020,三重區,65000020-025,永春里,2098,96.44,80000.0,34.4,17.62,16.78,95.27,275,1561,262,6,77,477,218,535,276,211,5,18,964,841,173,-6,2,800,336579.0,727.0,536.0,355.0,938.0,589.08,463905.0,390539.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,27074.0,1.0,0.0,0.0
新北市三重區永清里,新北市,65000020,三重區,65000020-090,永清里,5883,93.71,71143.52,34.13,19.54,14.59,74.68,857,4386,640,10,205,1240,557,1461,956,551,13,33,2758,2471,394,11,-147,2030,1487140.0,966.0,638.0,380.0,1156.0,1079.91,1175690.0,991921.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,82816.0,0.0,0.0,0.0
新北市三重區永煇里,新北市,65000020,三重區,65000020-092,永煇里,2640,105.13,50338.45,29.73,13.17,16.56,125.75,268,2035,337,6,88,516,239,706,504,284,3,26,1178,1096,236,-10,-10,962,822086.0,1275.0,592.0,340.0,1038.0,7891.91,465427.0,397473.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,43233.0,0.0,0.0,0.0
新北市三重區永發里,新北市,65000020,三重區,65000020-113,永發里,6155,101.21,22855.38,29.52,17.68,11.85,67.02,840,4752,563,15,321,1562,591,1461,870,458,11,26,2762,2825,362,56,-92,2185,772668.0,747.0,554.0,353.0,876.0,1116.31,1693951.0,1311522.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,273218.0,0.0,0.0,0.0
新北市三重區永盛里,新北市,65000020,三重區,65000020-088,永盛里,3551,94.68,40371.54,39.42,20.34,19.08,93.82,518,2547,486,6,114,700,329,927,532,396,4,25,1649,1451,285,5,-35,1273,1524587.0,789.0,573.0,347.0,1003.0,736.87,596214.0,499003.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,81966.0,0.0,0.0,2.0
新北市三重區永福里,新北市,65000020,三重區,65000020-089,永福里,5744,93.92,45928.85,34.11,19.38,14.73,76.02,830,4283,631,10,146,1201,556,1534,855,555,16,41,2691,2346,453,2,-114,2015,379975.0,739.0,563.0,368.0,935.0,625.25,1118506.0,894752.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,121908.0,0.0,0.0,1.0
新北市三重區永興里,新北市,65000020,三重區,65000020-040,永興里,1362,92.1,5886.65,32.36,13.12,19.24,146.67,135,1029,198,6,62,283,170,410,161,124,3,8,600,547,143,0,6,618,397077.0,709.0,522.0,322.0,850.0,752.6,351520.0,273963.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,32844.0,1.0,0.0,0.0
新北市三重區永豐里,新北市,65000020,三重區,65000020-115,永豐里,6342,96.41,66623.25,32.01,20.94,11.07,52.88,1006,4804,532,6,172,1282,598,1661,1047,527,7,36,3029,2559,512,22,-57,2150,668617.0,761.0,574.0,369.0,928.0,724.02,1227314.0,1066724.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,96273.0,0.0,0.0,0.0
新北市三重區永順里,新北市,65000020,三重區,65000020-114,永順里,5533,93.33,85593.18,31.18,19.08,12.09,63.35,805,4218,510,12,168,1134,512,1394,998,461,11,38,2671,2197,435,6,-19,1909,729218.0,758.0,541.0,340.0,905.0,750.92,1010395.0,879804.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,61890.0,0.0,0.0,0.0
新北市三重區清和里,新北市,65000020,三重區,65000020-039,清和里,3953,89.59,9509.47,26.74,11.29,15.45,136.93,352,3119,482,22,241,1005,517,1062,445,296,2,11,1676,1744,370,10,-16,1846,384614.0,791.0,596.0,370.0,946.0,925.28,1224631.0,983889.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,64442.0,1.0,0.0,0.0
新北市三重區溪美里,新北市,65000020,三重區,65000020-093,溪美里,8445,94.45,47061.51,29.09,14.81,14.28,96.39,969,6542,934,22,372,1909,951,2184,1277,692,14,55,3779,3571,723,4,93,3331,519135.0,740.0,573.0,357.0,939.0,597.65,1958630.0,1622711.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,174802.0,1.0,0.0,0.0
